town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,520,406,839450,864326,2.83,20100,3.88,33506,31.5,62,
Bedminster,269,199,495000,500000,2.38,11000,3.08,12290,34.2,53,
Berkeley Heights,236,183,825000,883000,6.4,50000,7.2,63411,25.1,58,
Bernardsville,169,115,950000,1050000,2.67,20001,2.68,-871,41.7,62,
Boonton,287,178,670388,711250,2.42,15550,4.13,25971,34.3,63,
Branchburg,376,278,599000,615000,1.92,10000,2.7,16163,39.2,62,
Bridgewater,618,471,649999,690000,2.41,15001,3.36,22219,35.7,62,
Caldwell,414,218,750000,812500,5.99,45050,7.76,60265,26.6,62,
Cedar Grove,231,117,725000,785000,9.21,65000,8.35,56755,17.1,58,
Cedar Knolls,51,39,735000,765000,5.15,35100,6.02,48265,23.1,63,
Chatham,436,294,1337000,1562500,6.13,77000,8.57,111484,27.9,61,
Chester,192,131,924900,950000,1.96,20100,2.76,17144,40.5,67,
Clark,236,130,699500,734000,3.62,21000,2.71,15735,28.5,63,
Colonia,268,203,615000,635000,2.52,15000,3.35,19377,32.5,69,
Cranford,367,251,749000,790000,5.4,36000,6.44,48066,23.5,56,
Denville,461,281,650000,687500,3.81,25000,4.45,28022,31.0,62,
East Hanover,297,104,834000,877000,4.76,38050,5.67,48886,23.1,62,
Edison,1217,865,599000,605000,0.74,5000,1.89,10966,44.7,71,
Elmwood Park,160,47,630000,640000,1.12,10000,2.37,12271,46.8,73,
Essex Fells,46,25,1562500,1505000,-1.18,-10000,0.55,-17636,60.0,66,
Fairfield,104,37,749900,810999,3.72,30000,6.2,52932,29.7,67,
Fanwood,125,100,747000,805000,6.87,50500,7.27,55269,23.0,62,
Florham Park,201,121,1049900,1100000,3.03,25000,4.21,37047,37.2,59,
Franklin Lakes,155,49,1679000,1750000,0.0,0,2.92,3351,53.1,98,
Garwood,82,55,675000,700000,3.14,20500,2.7,18793,30.9,62,
Gillette,74,51,649999,685000,1.82,15000,3.85,31704,41.2,65,
Glen Ridge,157,114,899000,1137500,22.27,219792,20.54,215616,11.4,58,
Glen Rock,163,65,939000,1085000,11.23,101000,12.31,115506,12.3,59,
Green Brook,284,192,550000,560000,0.9,5000,2.22,10840,43.2,68,
Hanover Township,167,84,667500,702500,3.96,26000,6.0,39218,28.6,53,
Livingston,626,342,1100000,1200000,1.83,20500,4.78,44406,42.1,67,
Long Valley,215,156,725000,735000,3.09,17300,2.71,16926,34.6,62,
Madison,267,180,1175000,1305000,6.18,60000,8.74,94265,27.2,65,
Maplewood,490,363,869999,1055000,10.69,100000,13.94,132501,16.0,54,
Martinsville,73,54,832000,852500,2.15,22050,2.69,15699,40.7,62,
Mendham,222,185,1150000,1175000,0.0,0,2.06,10289,53.0,69,
Metuchen,289,204,675000,711000,3.87,25000,5.14,39388,28.9,60,
Millburn,146,94,1291500,1402500,6.29,50500,7.14,79007,33.0,62,
Millington,54,44,859000,895000,3.53,26000,4.36,41268,27.3,62,
Montclair,702,423,1050000,1250000,17.14,175000,17.47,200125,16.5,58,
Montville,233,151,759000,792500,3.76,30100,4.12,31703,30.5,69,
Morris Plains,405,240,719450,735000,2.7,16000,4.53,33149,30.0,61,
Morristown,805,492,799999,860500,3.93,30500,5.45,49078,33.1,63,
Mountain Lakes,87,68,1224000,1217500,3.61,35050,5.8,57156,39.7,78,
Mountainside,110,79,949018,1035250,5.27,50000,6.59,68456,32.9,65,
New Providence,208,167,899900,1026000,8.95,76000,9.17,93553,22.8,56,
North Haledon,285,151,650000,670000,2.22,15000,3.65,22164,33.1,71,
Nutley,466,248,608500,652500,3.58,20000,4.85,28651,29.4,66,
Parsippany-Troy Hills,424,235,665000,685000,3.86,23100,4.06,25703,33.6,59,
Pompton Lakes,208,129,499000,525000,3.88,17500,4.51,21455,31.8,68,
Pompton Plains,145,90,649900,664500,2.52,18000,3.08,15888,33.3,64,
Randolph,431,296,764413,810000,3.25,25000,4.75,36379,30.4,64,
Roseland,101,47,759000,770000,4.0,31000,5.51,41181,27.7,60,
Scotch Plains,395,279,879000,935000,4.55,35000,6.42,60158,29.7,62,
Short Hills,255,197,2295000,2415000,2.52,42000,4.89,79504,43.7,70,
South Orange,305,224,977000,1124000,10.22,92500,12.13,127661,16.1,62,
South Plainfield,326,225,559900,580000,2.0,11000,2.91,17001,29.8,70,
Springfield,277,186,642000,675000,4.0,22000,5.01,33096,26.9,63,
Stirling,34,25,699000,715000,3.61,21000,4.75,35349,28.0,56,
Summit,422,311,1375000,1510000,8.57,102000,9.98,137760,27.0,59,
Totowa,167,73,629000,678000,3.35,20100,3.13,13938,28.8,70,
Towaco,97,70,749450,764000,1.53,10500,3.49,36467,40.0,64,
Verona,301,204,675000,783750,6.65,41000,9.6,73993,28.4,61,
Warren,385,213,1199000,1200000,0.0,0,0.81,1044,59.2,76,
Watchung,105,74,1025000,1155000,2.17,21500,3.02,29251,45.9,65,
Wayne,835,568,699000,745000,4.44,30050,5.6,41857,24.5,65,
West Orange,874,537,639000,685000,7.3,45000,8.23,55292,21.0,62,
Westfield,573,442,1150000,1300000,6.96,75000,8.62,93482,22.2,56,
Woodbridge,328,244,455000,462500,1.78,7750,3.01,13500,36.1,69,
Woodland Park,434,211,599000,615000,3.16,16000,4.06,22967,32.2,63,
