town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,1214,886,839900,875000,4.0,26000,5.08,40671,27.1,59,
Bedminster,623,400,475000,490000,3.1,15000,3.8,10014,30.8,54,
Berkeley Heights,525,350,799000,850000,6.22,46000,7.01,59924,24.3,57,
Bernardsville,382,259,925000,995000,2.0,16000,2.39,-3523,44.0,64,
Boonton,580,358,649000,675000,2.62,17550,4.4,25703,31.8,64,
Branchburg,832,561,565000,592500,3.06,15100,3.79,21584,33.0,61,
Bridgewater,1414,952,650000,697500,3.01,20000,3.7,25144,32.1,62,
Caldwell,644,327,725000,770000,4.93,30023,6.76,48083,28.4,65,
Cedar Grove,501,233,699900,762000,7.18,51000,7.65,53517,18.5,58,
Cedar Knolls,97,79,629000,640000,4.38,25000,5.02,35385,25.3,62,
Chatham,1001,624,1200000,1380000,5.64,56000,7.65,93450,29.5,63,
Chester,430,272,922400,949500,1.98,20000,3.07,24338,39.0,70,
Clark,508,253,679900,687000,2.94,20000,3.04,17465,30.4,62,
Colonia,623,440,598500,620000,2.78,15722,3.86,20940,30.9,71,
Cranford,870,478,729000,773000,5.01,32552,6.05,43830,24.7,56,
Denville,1008,518,600000,641000,4.04,25000,4.53,28516,29.5,61,
East Hanover,612,199,789900,843000,4.66,36000,5.33,43842,24.1,60,
Edison,2937,1818,589000,605000,2.16,11000,3.13,16831,36.5,69,
Elmwood Park,440,99,575000,599000,2.64,15000,3.34,18064,38.4,73,
Essex Fells,94,40,1499000,1500000,-0.59,-5000,1.44,-22898,60.0,67,
Fairfield,272,90,704450,738000,3.44,24000,4.86,38983,33.3,69,
Fanwood,287,208,714900,762500,6.13,36000,6.66,48147,22.6,60,
Florham Park,503,267,925000,999000,2.71,25000,4.31,37364,37.1,64,
Franklin Lakes,351,97,1595000,1555000,0.0,0,1.74,-4104,52.6,92,
Garwood,186,106,649950,685000,3.52,20300,3.96,25804,30.2,62,
Gillette,142,98,642500,652500,2.27,15000,3.82,29553,38.8,64,
Glen Ridge,349,223,875000,1100000,21.79,200999,19.82,200421,12.1,58,
Glen Rock,409,156,899000,1010000,9.75,85000,10.5,97727,15.4,59,
Green Brook,528,370,529900,550000,2.02,10175,3.04,13632,37.8,69,
Haledon,100,32,499000,540000,4.84,26500,5.76,28388,25.0,61,
Hanover Township,341,161,650000,695000,4.74,30000,6.19,39438,24.2,53,
Livingston,1461,673,999999,1125000,2.11,25000,4.93,42461,39.2,67,
Long Valley,507,332,679950,715000,3.5,24050,3.98,24659,30.4,62,
Madison,558,364,1008000,1150000,4.88,51000,7.3,75866,29.4,64,
Maplewood,1073,720,850000,999000,10.07,85222,12.61,116301,18.8,56,
Martinsville,168,121,775000,810000,2.65,20000,3.41,22907,34.7,64,
Mendham,405,321,1050000,1060000,0.11,1000,2.19,8288,49.8,67,
Mendham Township,123,52,1189500,1187500,0.8,10000,1.59,9084,42.3,70,
Metuchen,663,427,670000,700000,4.0,25000,5.23,36374,27.6,62,
Millburn,316,202,1191944,1282500,6.29,63500,7.71,83780,29.7,60,
Millington,109,75,849000,875000,4.14,31000,4.42,39860,26.7,62,
Montclair,1509,777,989000,1200000,17.14,155001,17.92,193722,15.2,60,
Montville,652,252,739500,781250,3.91,29805,4.25,30209,30.6,69,
Morris Plains,879,494,675000,710000,3.96,25100,5.2,36428,27.5,59,
Morris Township,407,216,799000,850000,4.04,30500,5.86,47727,28.2,62,
Morristown,1355,860,779450,815000,3.07,23000,4.86,39269,35.5,65,
Mountain Lakes,240,135,1100000,1199000,2.42,25000,4.5,47039,37.0,76,
Mountainside,297,188,919000,980000,4.13,33525,6.07,56216,31.9,64,
New Providence,474,327,850000,930000,8.3,71000,8.99,84803,20.8,55,
North Caldwell,99,53,995000,1055000,4.2,40000,6.0,54561,32.1,58,
North Haledon,519,226,642950,660000,2.31,15500,3.76,22610,32.3,71,
Nutley,1074,509,619000,650000,4.68,25000,5.55,31601,27.9,67,
Parsippany-Troy Hills,1250,450,650000,685500,4.77,26560,5.25,30931,28.2,57,
Pompton Lakes,537,286,479000,514166,4.7,20106,5.83,26485,25.9,66,
Pompton Plains,319,190,599000,625000,3.62,20050,3.71,19103,30.0,62,
Randolph,961,608,749444,780000,3.88,26000,5.13,37819,29.3,64,
Roseland,252,93,750000,779000,5.46,40001,6.49,50792,24.7,65,
Scotch Plains,881,563,819000,875500,5.36,36000,6.89,61064,27.4,61,
Short Hills,584,422,2188000,2271500,3.29,56000,5.18,82031,40.8,66,
South Orange,703,465,925000,1078000,9.11,76000,11.46,112839,17.0,61,
South Plainfield,783,478,530000,555000,3.19,16500,4.03,20228,27.0,65,
Springfield,659,364,629000,663750,4.0,21500,4.83,31475,26.6,63,
Stirling,98,58,627000,675000,4.39,28500,5.56,36277,29.3,59,
Summit,924,631,1275000,1400000,7.33,76000,8.8,111980,26.6,61,
Totowa,370,154,599900,625000,3.58,21000,3.29,15557,30.5,73,
Towaco,149,108,712400,750000,2.33,21000,4.45,43317,33.3,64,
Verona,668,360,649450,728312,6.25,31500,8.63,65866,30.0,61,
Warren,767,462,1157500,1180000,0.0,0,0.71,786,56.9,73,
Watchung,235,160,983750,999000,0.0,0,1.93,12396,51.9,76,
Wayne,2003,1159,675000,712000,4.51,29999,5.35,37711,24.3,66,
West Caldwell,123,45,699000,750000,10.19,60100,8.77,58434,17.8,62,
West Orange,2096,1109,599999,655000,7.29,40001,8.58,54383,21.3,62,
Westfield,1320,872,1150000,1267500,5.52,59500,7.39,78108,26.4,59,
Woodbridge,792,487,429000,450000,2.71,11500,3.81,16219,31.0,68,
Woodland Park,795,376,587656,601500,3.69,20100,4.65,26828,29.0,67,
