town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,822,822,848000,880000,4.01,26544,5.07,41220,26.4,59,
Bedminster,367,367,479000,500000,3.0,15000,3.63,10266,30.8,54,
Berkeley Heights,321,321,799000,860000,6.74,50000,7.47,64144,21.5,58,
Bernardsville,235,235,899000,995000,1.7,11250,2.12,-7864,45.1,65,
Boonton,332,331,649000,675000,2.67,20000,4.52,26484,30.2,63,
Branchburg,470,469,575000,598000,3.05,15100,3.7,21065,33.9,61,
Bridgewater,849,849,669900,700000,3.2,20100,3.81,26002,30.7,62,
Caldwell,296,296,719850,772500,5.34,35000,7.02,48456,27.0,65,
Cedar Grove,219,219,699900,765000,7.94,56000,7.71,54147,18.3,58,
Cedar Knolls,76,76,635000,650000,4.34,21250,4.72,34313,26.3,62,
Chatham,554,554,1195000,1350000,5.82,60050,7.84,96157,28.2,63,
Chester,253,252,922400,925000,1.96,18040,2.94,22086,39.7,69,
Clark,216,216,684500,692450,3.52,21000,3.2,18718,28.2,62,
Colonia,100,100,589950,625000,4.7,26050,4.53,24508,24.0,70,
Cranford,430,430,729000,773000,5.03,35000,6.13,44286,24.4,56,
Denville,468,464,617250,650000,4.04,25000,4.56,28981,28.9,61,
East Hanover,177,177,799000,843000,4.35,32000,5.16,43005,24.9,60,
Edison,220,220,620000,635000,3.05,16000,3.85,21519,31.8,64,
Elmwood Park,89,89,579000,600000,2.27,12000,3.38,18420,39.3,71,
Essex Fells,37,37,1499000,1500000,0.0,0,1.86,-17754,56.8,68,
Fairfield,73,73,749000,770000,3.72,26000,4.94,40935,30.1,69,
Fanwood,188,188,725000,768750,5.92,35550,6.57,47930,22.3,60,
Florham Park,233,233,925000,995000,3.03,25000,4.42,39441,35.2,64,
Franklin Lakes,92,92,1597000,1560000,0.0,0,1.76,-5115,52.2,95,
Garwood,95,95,659800,685000,3.71,20500,3.93,25743,31.6,62,
Gillette,90,90,637000,650000,2.83,15500,4.02,31291,36.7,64,
Glen Ridge,231,206,849000,1089072,21.04,191000,19.83,198345,11.7,58,
Glen Rock,144,144,899000,1010000,9.84,85000,10.55,98157,13.9,59,
Green Brook,241,240,550000,572000,2.28,13050,3.34,15320,35.4,68,
Haledon,28,28,514500,562550,4.26,23000,5.46,27636,25.0,61,
Hanover Township,146,145,650000,690000,5.16,30000,6.41,41148,24.8,53,
Livingston,565,565,999900,1105000,2.63,27500,5.09,42915,37.3,67,
Long Valley,314,314,697000,715000,3.46,22550,3.94,24199,30.3,62,
Madison,334,334,999000,1125000,5.28,51000,7.58,77726,27.5,64,
Maplewood,659,655,850000,999000,10.54,90000,13.17,121740,17.1,56,
Martinsville,109,109,799900,835000,2.14,16000,3.09,22068,35.8,64,
Mendham,298,298,1085000,1097500,0.06,500,2.24,8920,50.0,67,
Mendham Township,46,46,1152000,1150000,0.82,10500,1.89,16736,41.3,70,
Metuchen,89,89,685000,715000,6.0,36000,6.69,47937,24.7,62,
Millburn,183,182,1195000,1312500,6.97,76000,8.13,88768,28.0,60,
Millington,71,71,849000,875000,4.0,28000,4.25,37796,28.2,62,
Montclair,797,709,979000,1200000,17.62,167000,18.29,197689,14.0,60,
Montville,231,231,748000,775000,3.85,30000,4.16,29436,31.2,69,
Morris Plains,456,455,675000,713900,4.01,25100,5.11,35555,27.3,59,
Morris Township,195,195,799000,850000,4.71,31000,6.15,50914,26.7,62,
Morristown,789,788,775000,810000,3.22,25000,5.02,39776,34.5,64,
Mountain Lakes,117,117,1100000,1200000,2.56,28000,4.63,48574,35.9,76,
Mountainside,163,163,919000,980000,4.7,36000,6.17,56858,30.7,65,
New Providence,298,298,850000,930000,8.53,71000,9.12,86219,19.8,55,
North Caldwell,49,48,998995,1175000,4.25,40500,6.31,55761,31.2,58,
North Haledon,214,213,639999,660000,2.53,16000,3.85,23177,31.5,72,
Nutley,463,463,625000,654000,4.43,25000,5.4,30935,27.9,67,
Parsippany-Troy Hills,423,421,650000,686000,4.78,27500,5.21,31289,27.6,57,
Pompton Lakes,266,266,479000,511666,4.62,20000,5.85,26522,26.7,66,
Pompton Plains,179,179,599000,625000,3.59,20001,3.63,18268,30.2,62,
Randolph,547,547,749000,783500,4.01,28000,5.18,38518,27.2,64,
Roseland,84,84,752500,777000,5.67,40050,6.5,50293,25.0,65,
Scotch Plains,487,486,827000,875750,5.5,46000,7.18,63995,25.5,61,
Short Hills,368,367,2095000,2228000,4.37,85000,5.69,90520,36.5,67,
South Orange,417,415,925000,1089000,9.65,80000,11.89,116077,15.7,61,
South Plainfield,160,160,529000,550000,3.35,20000,3.83,20021,23.8,66,
Springfield,340,340,629950,670000,3.87,21000,4.82,31651,26.5,62,
Stirling,50,50,627000,667500,4.39,28500,5.46,35251,28.0,59,
Summit,546,545,1200000,1350000,8.57,96000,9.39,118611,23.5,61,
Totowa,143,142,602500,635000,3.62,25100,3.61,17659,30.3,73,
Towaco,100,100,714950,753788,3.26,23000,4.58,45266,32.0,64,
Verona,337,332,649950,732500,6.35,32000,8.6,65178,30.1,61,
Warren,432,431,1150000,1180000,0.0,0,0.82,2623,56.6,73,
Watchung,140,140,966250,992000,0.0,0,1.7,9731,51.4,76,
Wayne,1064,1062,675000,715000,4.72,30100,5.52,38604,23.4,66,
West Caldwell,40,40,674450,745000,10.19,63555,8.78,59309,20.0,62,
West Orange,1008,1005,600000,659000,7.63,45000,8.79,56018,20.3,62,
Westfield,765,764,1150000,1275000,5.77,60550,7.62,81178,25.3,59,
Woodbridge,83,83,449999,490000,4.84,20100,4.51,20319,19.3,63,
Woodland Park,351,351,589000,605000,3.66,20100,4.64,26954,28.8,68,
