county,town,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Elmwood Park,Jan,1,4,4,584950,655000,5.29,25308,7.34,42679,25.0,86,yes
BERGEN,Elmwood Park,Feb,2,8,8,736944,770000,1.25,10050,1.67,2026,25.0,76,yes
BERGEN,Elmwood Park,Mar,3,5,5,650000,650000,-0.68,-5000,-3.04,-5980,100.0,82,yes
BERGEN,Elmwood Park,Apr,4,4,4,614950,632500,-0.69,-1500,2.25,14525,75.0,64,yes
BERGEN,Elmwood Park,May,5,11,11,525000,540000,2.27,2000,3.87,23965,45.5,71,
BERGEN,Elmwood Park,Jun,6,8,8,677450,702500,2.35,18000,2.84,8762,25.0,62,yes
BERGEN,Elmwood Park,Jul,7,12,12,537500,580000,4.17,18000,4.85,21550,33.3,64,
BERGEN,Elmwood Park,Aug,8,10,10,525000,560000,3.75,20500,5.04,28200,30.0,64,
BERGEN,Elmwood Park,Sep,9,9,9,650000,730000,5.71,41000,4.14,34122,33.3,59,yes
BERGEN,Elmwood Park,Oct,10,8,8,577450,615000,2.17,12550,2.11,7900,50.0,76,yes
BERGEN,Elmwood Park,Nov,11,5,5,499000,525000,6.67,12000,5.49,22600,20.0,69,yes
BERGEN,Elmwood Park,Dec,12,5,5,485000,490000,0.91,5000,1.85,13320,40.0,119,yes
BERGEN,Franklin Lakes,Jan,1,6,6,1991950,1887500,-9.72,-149450,-9.45,-226113,100.0,110,yes
BERGEN,Franklin Lakes,Feb,2,8,8,1399950,1462500,1.16,25500,0.67,-15850,50.0,88,yes
BERGEN,Franklin Lakes,Mar,3,9,9,1349000,1350000,0.0,0,4.38,25844,55.6,74,yes
BERGEN,Franklin Lakes,Apr,4,14,14,1639450,1814500,1.33,13050,3.52,45079,42.9,67,
BERGEN,Franklin Lakes,May,5,9,9,1350000,1360000,-2.4,-15000,0.96,-10748,55.6,127,yes
BERGEN,Franklin Lakes,Jun,6,14,14,1522000,1529500,1.57,20000,0.63,-18568,35.7,69,
BERGEN,Franklin Lakes,Jul,7,9,9,889999,950000,4.49,40001,5.7,24111,33.3,76,yes
BERGEN,Franklin Lakes,Aug,8,6,6,1668000,1696000,-1.24,-7450,4.61,6017,66.7,122,yes
