town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,1244,905,839000,875000,4.01,26000,5.08,40826,27.1,59,
Bedminster,633,404,479000,492500,3.16,15000,3.83,10331,30.4,54,
Berkeley Heights,537,359,799000,860000,6.22,46000,7.11,61608,24.0,58,
Bernardsville,387,263,925000,995000,1.89,15000,2.32,-4000,44.5,64,
Boonton,598,371,650000,680000,2.67,18100,4.33,25284,31.8,65,
Branchburg,862,581,565000,590000,3.08,15250,3.78,21638,33.0,61,
Bridgewater,1464,986,650000,700000,2.9,20000,3.64,24710,32.8,62,
Caldwell,654,328,725000,770000,4.98,30512,6.78,48153,28.4,64,
Cedar Grove,523,239,699900,765000,8.0,53000,7.74,54571,18.0,59,
Cedar Knolls,98,80,632000,645000,4.37,25000,5.0,35255,25.0,62,
Chatham,1026,640,1200000,1380000,5.64,56000,7.61,93005,29.8,63,
Chester,445,285,929000,950000,2.0,20000,3.11,24873,38.9,70,
Clark,517,263,680000,690000,3.09,20001,3.07,18008,30.0,62,
Colonia,646,456,599000,620000,2.78,16000,3.88,21487,30.7,72,
Cranford,886,486,729000,775000,5.02,34784,6.14,44862,24.3,56,
Denville,1032,536,617250,650000,3.85,25000,4.42,27773,30.4,62,
East Hanover,627,206,795000,850000,4.61,35505,5.22,43673,24.8,61,
Edison,3011,1869,589900,609250,1.96,11000,3.05,16467,37.0,69,
Elmwood Park,447,104,575000,600000,2.71,13500,3.38,18388,38.5,73,
Essex Fells,95,40,1499000,1500000,-0.59,-5000,1.44,-22898,60.0,67,
Fairfield,281,91,709000,740000,3.36,25000,4.84,38885,33.0,69,
Fanwood,296,212,725000,768750,6.01,36000,6.6,47818,22.2,60,
Florham Park,518,276,925000,997000,2.54,24468,4.3,37153,37.7,64,
Franklin Lakes,367,102,1597000,1537500,0.0,0,1.41,-8344,54.9,92,
Garwood,194,112,649950,685000,3.71,20750,4.15,27304,28.6,61,
Gillette,146,101,645000,655000,2.24,15000,3.65,28378,39.6,64,
Glen Ridge,358,225,875000,1108210,21.21,191000,19.76,198889,12.0,58,
Glen Rock,423,165,915000,1050000,9.68,85000,10.32,96239,17.0,60,
Green Brook,541,374,530650,550000,1.98,10175,3.02,13599,37.4,68,
Haledon,100,32,499000,540000,4.84,26500,5.76,28388,25.0,61,
Hanover Township,352,168,659500,697000,4.62,30000,6.18,39761,23.8,53,
Livingston,1503,703,999999,1125000,2.08,25000,4.9,42357,39.3,67,
Long Valley,522,344,697000,715000,3.69,25000,4.01,25110,29.9,62,
Madison,573,373,1068000,1160000,5.0,51000,7.28,75764,30.0,64,
Maplewood,1091,734,850000,998580,9.95,85000,12.51,115475,18.8,56,
Martinsville,171,123,775000,810000,2.65,20000,3.36,22315,35.0,64,
Mendham,415,330,1072500,1087500,0.06,500,2.17,8461,50.0,68,
Mendham Township,123,52,1189500,1187500,0.8,10000,1.59,9084,42.3,70,
Metuchen,678,434,675000,703750,4.0,25000,5.26,36913,28.1,61,
Millburn,326,206,1188444,1278888,6.29,61500,7.66,82901,29.6,60,
Millington,113,79,829000,857000,4.52,35000,4.93,43236,25.3,57,
Montclair,1546,797,989000,1200000,17.14,158143,18.0,195335,14.9,60,
Montville,670,344,737000,789500,5.04,33000,5.13,37153,27.0,67,
Morris Plains,900,507,660008,705000,4.14,25100,5.25,36245,27.4,59,
Morris Township,407,214,799000,850000,3.94,30000,5.71,46914,28.5,62,
Morristown,1400,887,779000,815000,3.12,25000,4.92,40109,35.2,65,
Mountain Lakes,250,143,1100000,1199000,2.29,25000,4.27,44979,37.8,76,
Mountainside,309,195,919000,980000,3.87,31000,5.7,50936,33.3,64,
New Providence,484,334,862000,932500,8.32,71000,8.98,84864,20.7,55,
North Caldwell,116,60,952500,1052500,3.4,27000,5.11,47532,38.3,63,
North Haledon,541,238,642950,660000,2.31,15500,3.81,22893,33.2,72,
Nutley,1102,521,619900,651000,4.68,25000,5.55,31669,27.6,66,
Parsippany-Troy Hills,1271,507,649000,675000,4.88,27120,5.42,31366,27.6,57,
Pompton Lakes,552,295,479000,515000,4.62,20001,5.74,26112,25.8,65,
Pompton Plains,325,195,599000,625000,3.72,20100,3.76,19646,29.7,62,
Randolph,992,626,749950,785000,3.81,26000,5.05,37353,29.7,64,
Roseland,261,98,755000,790500,5.67,40050,6.6,51814,25.5,65,
Scotch Plains,907,579,799999,875000,5.01,36000,6.8,59978,27.8,62,
Short Hills,602,434,2188000,2277500,3.22,56000,5.18,82102,40.8,66,
South Orange,721,476,927000,1076500,9.11,75560,11.43,112656,17.6,61,
South Plainfield,803,491,535000,555000,3.08,16000,3.85,19455,27.9,65,
Springfield,674,374,629000,670000,4.01,22000,4.88,32038,26.5,63,
Stirling,101,61,625000,670000,3.7,21000,4.8,35434,29.5,61,
Summit,941,642,1275000,1406000,7.67,82000,8.91,113403,26.5,61,
Totowa,377,158,599900,625000,3.58,21000,3.32,15879,30.4,74,
Towaco,157,114,714950,750000,2.1,18500,4.42,42380,33.3,65,
Verona,690,370,654500,732500,6.25,31500,8.68,66424,29.5,61,
Warren,782,472,1175000,1182500,0.0,0,0.76,1184,56.6,73,
Watchung,242,165,985000,999000,0.0,0,1.8,11247,53.3,76,
Wayne,2046,1185,675000,715000,4.53,30000,5.36,37960,24.5,66,
West Caldwell,123,45,699000,750000,10.19,60100,8.77,58434,17.8,62,
West Orange,2177,1145,600000,655000,7.3,41000,8.58,54604,21.1,62,
Westfield,1347,894,1150000,1265000,5.44,57375,7.32,77629,26.7,60,
Woodbridge,801,496,429000,450000,2.7,11000,3.78,16068,31.7,68,
Woodland Park,828,388,588406,603500,3.69,20100,4.65,26849,28.9,67,
