town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,429,429,839000,863652,2.9,21000,4.02,36652,30.8,63,
Bedminster,208,208,495000,504000,2.35,10050,3.12,14947,32.7,54,
Berkeley Heights,193,192,839000,892500,6.77,54054,7.84,72254,21.4,58,
Bernardsville,116,116,949000,1050000,2.96,22500,2.78,-420,41.4,63,
Boonton,199,198,684950,725000,2.67,20050,4.39,28296,30.3,64,
Branchburg,286,285,599000,615000,1.94,11000,2.67,16408,40.4,61,
Bridgewater,495,495,668000,700000,2.52,15999,3.5,23696,34.3,61,
Caldwell,220,220,750000,820000,5.51,36000,7.59,57249,27.3,62,
Cedar Grove,130,130,749000,800000,9.39,66500,8.79,61218,14.6,58,
Cedar Knolls,41,41,735000,765000,4.77,35100,5.89,47326,22.0,63,
Chatham,305,305,1299000,1550000,6.49,85000,8.72,113759,25.6,61,
Chester,145,144,949450,971750,2.04,18000,2.61,17048,42.4,69,
Clark,130,130,709500,750000,3.43,22778,2.75,17206,28.5,64,
Colonia,62,62,599900,632500,4.8,30100,4.73,28427,22.6,72,
Cranford,261,261,759000,825000,5.11,39100,6.46,48491,23.8,57,
Denville,297,293,675000,700000,3.49,25000,4.42,28410,32.4,61,
East Hanover,118,118,844000,892000,4.6,39100,5.67,49105,23.7,61,
Edison,139,139,649000,655000,0.92,6000,2.18,14606,41.7,71,
Elmwood Park,53,53,649000,650000,1.12,10000,2.56,13240,47.2,69,
Essex Fells,24,24,1549000,1502500,-0.59,-5000,0.78,-22079,54.2,68,
Fairfield,37,37,799900,869000,3.72,30100,6.06,52667,27.0,67,
Fanwood,110,110,749000,810000,6.2,44850,7.09,54523,22.7,57,
Florham Park,131,131,999000,1071000,3.45,30100,4.7,41763,33.6,59,
Franklin Lakes,58,58,1689500,1739500,0.0,0,1.87,-14992,56.9,95,
Garwood,58,58,694000,700000,3.77,25000,3.18,22531,29.3,61,
Gillette,56,56,649750,692500,2.19,15500,3.48,28811,41.1,68,
Glen Ridge,144,125,949000,1200000,22.18,226000,21.08,230011,8.8,58,
Glen Rock,78,78,963500,1092500,9.78,90850,10.57,100415,17.9,59,
Green Brook,152,152,569450,592500,1.73,10100,2.5,12283,38.8,67,
Hanover Township,93,92,682500,707450,3.63,26000,6.13,40819,27.2,52,
Livingston,345,345,1050000,1150000,2.08,25000,4.93,44513,38.8,67,
Long Valley,170,170,732000,756000,3.49,21000,3.06,18698,31.8,63,
Madison,186,186,1100000,1274000,6.71,63000,9.04,96654,25.8,64,
Maplewood,385,383,869000,1060000,11.36,102000,14.32,136378,14.9,55,
Martinsville,60,60,832000,865000,2.15,22050,3.01,18812,38.3,62,
Mendham,200,200,1150000,1175000,0.0,0,2.27,12963,51.5,69,
Metuchen,55,55,682000,718000,6.37,40000,7.31,54919,25.5,59,
Millburn,92,91,1295000,1414000,6.47,80000,7.54,83260,28.6,62,
Millington,47,47,849000,875000,4.52,28000,5.24,45105,25.5,55,
Montclair,496,448,999499,1225000,17.43,175950,17.93,204501,14.3,59,
Montville,168,168,772400,799408,4.16,31800,4.55,36604,27.4,70,
Morris Plains,258,257,715000,735000,2.56,16000,4.75,33560,31.1,60,
Morristown,527,526,799900,856291,3.92,30000,5.5,49078,33.3,64,
Mountain Lakes,74,74,1199000,1200000,3.61,30000,5.47,55977,40.5,80,
Mountainside,90,90,959500,1037629,3.1,30050,5.32,50079,35.6,64,
New Providence,174,174,899000,999999,9.03,83000,9.5,94745,20.7,56,
North Haledon,167,166,649700,670000,2.22,15000,3.75,22655,33.7,71,
Nutley,262,262,629950,667500,3.42,19500,4.7,27950,28.6,66,
Parsippany-Troy Hills,260,258,669950,688684,4.21,25000,4.51,28405,31.4,58,
Pompton Lakes,140,140,499950,530000,3.78,17169,4.65,22728,30.0,66,
Pompton Plains,96,96,649900,664500,3.21,20050,3.31,17568,31.2,62,
Randolph,322,322,764750,819052,3.58,26000,4.73,37080,29.5,64,
Roseland,52,52,759500,795000,6.28,42550,6.74,52783,25.0,62,
Scotch Plains,298,298,844500,900000,4.55,34950,6.54,60256,29.5,62,
Short Hills,209,208,2295000,2414000,3.37,66000,5.55,91885,40.4,70,
South Orange,240,238,962000,1119000,10.86,101050,12.69,132171,16.8,61,
South Plainfield,100,100,553500,572500,2.23,11050,2.66,15562,30.0,64,
Springfield,204,204,648500,680000,4.0,21500,4.98,33231,27.0,63,
Stirling,29,29,675000,680000,5.13,36000,4.14,39955,24.1,57,
Summit,309,309,1300000,1500000,10.12,132000,10.7,144133,23.0,59,
Totowa,78,78,629500,688500,3.4,20550,3.76,18647,28.2,71,
Towaco,79,79,750000,785000,1.92,16000,4.27,44788,34.2,64,
Verona,219,214,682450,800000,7.26,45050,10.02,77654,26.6,61,
Warren,234,233,1199900,1200000,0.0,0,0.98,3108,57.9,75,
Watchung,79,79,999900,1050000,1.6,16990,2.21,16809,46.8,68,
Wayne,594,592,699900,749500,4.62,30100,5.77,43589,24.0,65,
West Orange,591,589,639000,682500,7.47,46000,8.58,58506,19.5,62,
Westfield,450,450,1186000,1318750,7.0,75000,8.58,95230,22.2,57,
Woodbridge,58,58,487000,512500,3.06,15000,4.06,18811,27.6,62,
Woodland Park,229,229,599000,625000,3.49,20001,4.26,24621,30.6,63,
