county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Jan,1,76,14,814000,830000,6.53,51000,8.18,95787,14.3,86,
BERGEN,Feb,2,62,15,899000,930000,2.4,17000,3.84,17108,33.3,97,
BERGEN,Mar,3,96,30,889000,999999,5.79,50550,6.23,35157,33.3,64,
BERGEN,Apr,4,100,24,899000,930000,0.75,8000,2.74,2984,41.7,78,
BERGEN,May,5,94,22,899500,1073258,4.6,40000,7.38,75183,31.8,56,
BERGEN,Jun,6,91,34,932000,1083000,4.34,31500,8.33,72015,41.2,64,
BERGEN,Jul,7,164,53,899000,1111000,4.78,31000,7.59,58567,26.4,68,
BERGEN,Aug,8,143,62,977000,999999,2.78,18000,4.28,31828,38.7,67,
BERGEN,Sep,9,124,43,810000,902000,2.01,15000,5.39,39613,32.6,63,
BERGEN,Oct,10,97,28,769000,862500,5.59,41000,6.19,52365,25.0,64,
BERGEN,Nov,11,94,24,700000,756500,4.73,35500,7.13,67416,29.2,54,
BERGEN,Dec,12,96,22,970000,1040500,2.32,8500,3.76,11328,45.5,86,
ESSEX,Jan,1,685,331,749000,800000,3.59,25000,6.27,51645,33.2,78,
ESSEX,Feb,2,542,235,785000,875000,3.65,26000,7.24,63242,38.7,69,
ESSEX,Mar,3,702,357,779900,865000,8.49,55000,10.31,87190,22.4,54,
ESSEX,Apr,4,836,441,799000,895000,7.77,55100,11.1,103622,24.0,57,
ESSEX,May,5,1023,600,817000,920000,10.08,80550,12.65,117301,18.3,53,
ESSEX,Jun,6,1251,724,879450,999999,9.55,78500,11.77,116423,19.9,61,
ESSEX,Jul,7,1804,1012,849000,950000,8.7,65500,10.71,101871,22.3,62,
ESSEX,Aug,8,1678,951,848000,945000,7.16,53000,9.64,89409,24.2,65,
ESSEX,Sep,9,975,510,749900,800000,4.67,35100,7.06,54559,27.1,61,
ESSEX,Oct,10,904,419,725000,769900,4.17,25000,6.74,53826,32.5,64,
ESSEX,Nov,11,862,459,799000,853000,6.04,43500,8.01,68250,26.4,61,
ESSEX,Dec,12,907,473,775000,832500,5.94,40000,8.37,71122,27.7,62,
MIDDLESEX,Jan,1,364,232,531000,550000,1.65,7500,2.46,12388,38.8,82,
MIDDLESEX,Feb,2,333,215,549900,560000,1.0,5100,2.02,9972,38.1,77,
MIDDLESEX,Mar,3,391,239,570000,575000,2.1,12000,3.23,19159,38.1,63,
MIDDLESEX,Apr,4,402,250,550000,583750,3.69,19300,4.39,22972,26.8,66,
MIDDLESEX,May,5,418,275,549000,579500,3.54,20000,4.73,27367,25.8,62,
MIDDLESEX,Jun,6,525,359,599900,620000,2.98,15000,3.85,24688,34.3,64,
MIDDLESEX,Jul,7,769,488,562000,589500,3.33,17000,4.38,25288,29.7,70,
MIDDLESEX,Aug,8,735,468,589900,603000,2.88,15000,3.8,21140,35.5,68,
MIDDLESEX,Sep,9,525,322,550000,568500,3.25,16000,4.08,20358,31.4,65,
MIDDLESEX,Oct,10,511,324,547000,572500,2.42,12250,3.08,13918,32.7,69,
MIDDLESEX,Nov,11,484,286,569000,577500,2.13,11000,3.31,16785,33.6,68,
MIDDLESEX,Dec,12,482,288,560000,580000,1.79,10000,2.73,14893,37.8,68,
MORRIS,Jan,1,766,395,749900,760000,0.79,5250,2.31,13638,42.3,77,
MORRIS,Feb,2,650,319,699900,721000,0.87,5000,2.68,18460,44.2,78,
MORRIS,Mar,3,745,437,725000,760000,3.82,25000,5.17,44567,34.3,56,
MORRIS,Apr,4,865,512,750000,802750,5.28,35550,6.46,52480,25.0,56,
MORRIS,May,5,1075,650,799000,850000,5.96,45778,7.09,61489,24.0,53,
MORRIS,Jun,6,1287,819,779900,835000,5.23,40100,6.15,56325,25.4,61,
MORRIS,Jul,7,1797,1003,799000,850000,4.94,38000,5.95,50723,27.1,64,
MORRIS,Aug,8,1771,1050,775000,816000,4.12,27250,5.25,42927,28.7,64,
MORRIS,Sep,9,1071,611,749000,780000,3.64,22600,4.29,27350,34.4,67,
MORRIS,Oct,10,1042,562,739945,758950,2.87,20000,4.12,29003,35.8,61,
MORRIS,Nov,11,1015,537,700000,750000,2.52,16000,3.82,28210,35.0,63,
MORRIS,Dec,12,977,544,749000,774500,0.95,6500,3.12,21251,43.6,67,
PASSAIC,Jan,1,322,148,639450,642500,2.13,11000,3.8,23997,34.5,82,
PASSAIC,Feb,2,242,103,599999,635000,2.17,11000,3.96,21072,34.0,76,
PASSAIC,Mar,3,250,136,599450,631000,4.37,25000,4.35,25712,28.7,66,
PASSAIC,Apr,4,292,164,609950,636250,4.38,26000,5.16,30135,24.4,60,
PASSAIC,May,5,335,189,599900,630000,4.01,21000,5.02,32392,24.9,57,
PASSAIC,Jun,6,401,226,625000,675500,6.18,35000,6.68,43182,21.2,62,
PASSAIC,Jul,7,562,303,624000,660000,5.2,30100,6.32,41304,20.8,67,
PASSAIC,Aug,8,532,298,625000,666750,4.75,25438,5.59,34922,23.8,65,
PASSAIC,Sep,9,391,203,599900,635000,3.74,20100,4.6,28760,27.1,69,
PASSAIC,Oct,10,415,191,599999,660000,3.86,25000,4.6,28464,30.9,71,
PASSAIC,Nov,11,358,157,625000,630000,2.67,15001,3.89,23479,33.1,75,
PASSAIC,Dec,12,344,178,623500,640000,3.21,20050,3.29,22717,29.8,66,
SOMERSET,Jan,1,371,227,669000,676000,0.7,4999,2.16,5555,45.8,72,
SOMERSET,Feb,2,302,193,599000,600000,0.0,0,1.54,3999,52.8,73,
SOMERSET,Mar,3,344,236,627450,650750,2.04,14000,2.8,19369,38.1,61,
SOMERSET,Apr,4,406,277,675000,715000,3.36,24000,5.04,31197,32.1,59,
SOMERSET,May,5,509,360,699000,748000,3.88,25100,5.0,35084,29.4,54,
SOMERSET,Jun,6,603,441,715000,750000,4.5,30000,4.96,34456,23.8,60,
SOMERSET,Jul,7,898,624,769000,793000,3.57,25000,4.03,25736,29.6,64,
SOMERSET,Aug,8,867,575,699900,725000,2.33,15000,3.51,25686,35.3,64,
SOMERSET,Sep,9,545,386,714950,740500,2.67,15100,3.13,17882,34.7,61,
SOMERSET,Oct,10,507,330,677450,690000,1.69,10000,2.78,13801,41.8,63,
SOMERSET,Nov,11,491,310,679500,707500,0.95,5000,2.32,1940,44.5,62,
SOMERSET,Dec,12,483,314,650000,675000,0.33,2000,1.7,4113,45.9,63,
UNION,Jan,1,416,235,789000,815500,3.48,21000,4.91,44794,39.1,71,
