county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Jan,1,76,14,814000,830000,6.53,51000,8.18,95787,14.3,86,
BERGEN,Feb,2,62,15,899000,930000,2.4,17000,3.84,17108,33.3,97,
BERGEN,Mar,3,96,30,889000,999999,5.79,50550,6.23,35157,33.3,64,
BERGEN,Apr,4,100,24,899000,930000,0.75,8000,2.74,2984,41.7,78,
BERGEN,May,5,94,22,899500,1073258,4.6,40000,7.38,75183,31.8,56,
BERGEN,Jun,6,84,34,932000,1083000,4.34,31500,8.33,72015,41.2,64,
BERGEN,Jul,7,164,53,899000,1111000,4.78,31000,7.59,58567,26.4,68,
BERGEN,Aug,8,140,59,959000,999999,3.06,26000,4.73,37972,35.6,66,
BERGEN,Sep,9,118,37,810000,902000,1.25,10000,4.91,34550,32.4,63,
BERGEN,Oct,10,97,28,769000,862500,5.59,41000,6.19,52365,25.0,64,
BERGEN,Nov,11,94,24,700000,756500,4.73,35500,7.13,67416,29.2,54,
BERGEN,Dec,12,96,22,970000,1040500,2.32,8500,3.76,11328,45.5,86,
ESSEX,Jan,1,684,330,749000,802500,3.71,25000,6.28,51756,33.3,78,
ESSEX,Feb,2,541,235,785000,875000,3.65,26000,7.24,63242,38.7,69,
ESSEX,Mar,3,702,355,779900,865000,8.64,55000,10.34,87298,22.5,54,
ESSEX,Apr,4,836,441,799000,895000,7.77,55100,11.1,103622,24.0,57,
ESSEX,May,5,1023,600,817000,920000,10.08,80550,12.66,117318,18.2,53,
ESSEX,Jun,6,1250,723,879000,999999,9.59,77000,11.78,116444,19.9,61,
ESSEX,Jul,7,1802,1010,849000,950000,8.7,65500,10.71,101810,22.4,62,
ESSEX,Aug,8,1557,897,845000,940000,7.27,55000,9.7,90151,23.9,65,
ESSEX,Sep,9,935,470,725000,785000,4.62,35000,6.9,52599,26.8,62,
ESSEX,Oct,10,903,419,725000,769900,4.17,25000,6.74,53826,32.5,64,
ESSEX,Nov,11,860,457,799000,855000,5.97,45000,8.01,68423,26.5,61,
ESSEX,Dec,12,907,473,775000,832500,5.94,40000,8.37,71122,27.7,62,
MIDDLESEX,Jan,1,364,232,531000,550000,1.65,7500,2.46,12388,38.8,82,
MIDDLESEX,Feb,2,332,214,549900,559500,1.0,5100,2.04,10038,37.9,77,
MIDDLESEX,Mar,3,391,240,572500,577000,2.22,12250,3.24,19245,37.9,63,
MIDDLESEX,Apr,4,402,250,550000,583750,3.69,19300,4.39,22972,26.8,66,
MIDDLESEX,May,5,418,276,549450,579750,3.55,20000,4.73,27369,25.7,62,
MIDDLESEX,Jun,6,522,359,599900,621500,3.02,15100,3.93,25148,34.0,66,
MIDDLESEX,Jul,7,768,488,562000,589500,3.33,17000,4.38,25288,29.7,70,
MIDDLESEX,Aug,8,686,433,589900,605000,3.04,15100,3.87,21217,34.9,67,
MIDDLESEX,Sep,9,504,301,539000,560000,3.61,18100,4.29,21097,29.9,64,
MIDDLESEX,Oct,10,511,324,547000,572500,2.42,12250,3.08,13918,32.7,69,
MIDDLESEX,Nov,11,484,287,569000,575000,2.09,11000,3.3,16727,33.8,69,
MIDDLESEX,Dec,12,481,288,560000,580000,1.79,10000,2.73,14893,37.8,68,
MORRIS,Jan,1,765,389,749900,760000,0.79,5250,2.3,13656,42.4,77,
MORRIS,Feb,2,650,317,699900,720000,0.87,5000,2.68,18476,44.2,78,
MORRIS,Mar,3,745,428,725000,760000,3.85,25050,5.23,46127,34.1,56,
MORRIS,Apr,4,865,507,750000,810000,5.26,35100,6.46,52674,24.9,56,
MORRIS,May,5,1075,635,799000,850000,5.91,46000,7.07,61723,24.3,52,
MORRIS,Jun,6,1286,810,787000,839950,5.21,40100,6.15,56766,25.3,61,
MORRIS,Jul,7,1796,995,799000,850000,4.92,37817,5.92,50435,27.1,64,
MORRIS,Aug,8,1644,971,769900,810000,4.17,27400,5.25,42979,28.8,64,
MORRIS,Sep,9,1027,547,748000,776329,3.64,24100,4.41,28084,34.0,66,
MORRIS,Oct,10,1042,547,745000,760000,2.67,17001,4.04,28258,36.4,62,
MORRIS,Nov,11,1015,520,717000,753750,2.42,15100,3.63,27190,35.6,63,
MORRIS,Dec,12,977,535,749900,775000,0.87,5100,3.06,20713,44.1,67,
PASSAIC,Jan,1,322,148,639450,642500,2.13,11000,3.8,23997,34.5,82,
PASSAIC,Feb,2,242,103,599999,635000,2.17,11000,3.96,21072,34.0,76,
PASSAIC,Mar,3,250,136,599450,631000,4.37,25000,4.35,25712,28.7,66,
PASSAIC,Apr,4,292,164,609950,636250,4.38,26000,5.16,30135,24.4,60,
PASSAIC,May,5,335,189,599900,630000,4.01,21000,5.02,32392,24.9,57,
PASSAIC,Jun,6,401,226,625000,675500,6.18,35000,6.68,43182,21.2,62,
PASSAIC,Jul,7,562,303,624000,660000,5.2,30100,6.32,41304,20.8,67,
PASSAIC,Aug,8,493,283,624995,660000,4.79,25777,5.72,35712,23.3,64,
PASSAIC,Sep,9,378,190,599900,625000,3.55,20000,4.18,25252,28.9,70,
PASSAIC,Oct,10,415,192,599950,657500,3.85,25000,4.58,28316,31.2,71,
PASSAIC,Nov,11,358,157,625000,630000,2.67,15001,3.89,23479,33.1,75,
PASSAIC,Dec,12,344,178,623500,640000,3.21,20050,3.29,22717,29.8,66,
SOMERSET,Jan,1,371,227,669000,676000,0.7,4999,2.16,5555,45.8,72,
SOMERSET,Feb,2,301,193,599000,600000,0.0,0,1.54,3999,52.8,73,
SOMERSET,Mar,3,344,236,627450,650750,2.04,14000,2.8,19369,38.1,61,
SOMERSET,Apr,4,406,277,675000,715000,3.36,24000,5.04,31197,32.1,59,
SOMERSET,May,5,509,360,699000,748000,3.88,25100,5.0,35084,29.4,54,
SOMERSET,Jun,6,603,441,715000,750000,4.5,30000,4.96,34456,23.8,60,
SOMERSET,Jul,7,898,624,769000,793000,3.57,25000,4.03,25736,29.6,64,
SOMERSET,Aug,8,812,543,710000,735000,2.33,15000,3.57,26273,35.2,64,
SOMERSET,Sep,9,522,365,700000,740000,2.65,15100,3.1,17028,35.1,62,
SOMERSET,Oct,10,507,329,675000,685000,1.68,10000,2.76,13646,41.9,63,
SOMERSET,Nov,11,491,310,679500,707500,0.95,5000,2.32,1940,44.5,62,
SOMERSET,Dec,12,481,314,650000,675000,0.33,2000,1.7,4113,45.9,63,
UNION,Jan,1,416,235,789000,815500,3.48,21000,4.91,44794,39.1,71,
UNION,Feb,2,318,184,799000,836225,4.14,26500,4.69,42326,32.6,70,
