town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,422,422,838250,861826,2.9,21000,3.96,35881,31.0,63,
Bedminster,205,205,485000,500000,2.3,10001,3.07,14516,33.2,54,
Berkeley Heights,189,188,839000,890000,6.73,52060,7.76,71095,21.8,58,
Bernardsville,114,114,972000,1067500,2.96,22500,2.83,-475,41.2,63,
Boonton,192,191,675000,720000,2.67,20100,4.55,29556,29.8,64,
Branchburg,276,275,599000,615000,1.74,10001,2.63,15997,40.7,61,
Bridgewater,477,477,669000,700000,2.44,15999,3.52,23790,34.6,61,
Caldwell,215,215,750000,815000,5.53,40000,7.74,58505,26.0,62,
Cedar Grove,126,126,749000,800000,9.39,66500,8.74,60114,15.1,58,
Cedar Knolls,40,40,742000,770000,4.96,35100,5.94,47884,22.5,62,
Chatham,299,299,1299000,1550000,6.53,86000,8.9,115703,25.1,61,
Chester,138,137,925000,950000,1.96,16000,2.46,15314,42.3,68,
Clark,125,125,719000,750000,3.66,21000,2.76,17121,28.8,64,
Colonia,60,60,599900,632500,4.7,29550,4.59,27456,23.3,70,
Cranford,257,257,759000,825000,5.21,39100,6.49,48502,23.7,56,
Denville,287,283,650000,687500,3.81,25000,4.56,29431,31.4,60,
East Hanover,117,117,849000,899000,4.73,40100,5.7,49430,23.9,61,
Edison,137,137,649000,640000,0.77,5000,2.03,12830,42.3,70,
Elmwood Park,51,51,649000,650000,0.91,5000,2.27,11269,49.0,69,
Essex Fells,24,24,1549000,1502500,-0.59,-5000,0.78,-22079,54.2,68,
Fairfield,37,37,799900,869000,3.72,30100,6.06,52667,27.0,67,
Fanwood,110,110,749000,810000,6.2,44850,7.09,54523,22.7,57,
Florham Park,129,129,999000,1071000,3.45,31000,4.81,42720,32.6,58,
Franklin Lakes,55,55,1699999,1750000,0.0,0,2.35,-8828,54.5,92,
Garwood,56,56,699450,700000,3.77,25000,3.08,22056,30.4,62,
Gillette,54,54,649250,682500,2.19,15500,3.63,29971,40.7,65,
Glen Ridge,142,123,949000,1200000,22.18,226000,21.02,230564,8.9,58,
Glen Rock,75,75,945000,1085000,9.63,89700,10.46,98645,17.3,59,
Green Brook,150,150,569450,592500,1.66,10100,2.5,12273,39.3,67,
Hanover Township,89,88,682500,712450,4.1,26000,6.38,42425,27.3,53,
Livingston,333,333,1050000,1150000,2.26,25000,5.05,45685,38.1,67,
Long Valley,164,164,727000,750000,3.37,21000,2.97,17742,32.3,62,
Madison,182,182,1100000,1274000,6.75,65000,9.23,99020,24.7,62,
Maplewood,375,373,869999,1060000,11.76,107000,14.55,138849,14.7,55,
Martinsville,59,59,839000,875000,1.64,19100,2.99,18656,39.0,62,
Mendham,195,195,1150000,1150000,0.0,0,2.2,12105,52.3,69,
Metuchen,55,55,682000,718000,6.37,40000,7.31,54919,25.5,59,
Millburn,90,89,1295000,1414000,6.67,81000,7.67,85075,28.1,62,
Millington,45,45,849000,875000,4.52,28000,5.02,44329,26.7,57,
Montclair,485,437,999000,1225000,17.22,175901,17.76,202682,14.6,59,
Montville,164,164,772400,799408,3.95,30908,4.43,35792,28.0,70,
Morris Plains,250,249,719000,735000,2.51,16000,4.67,33526,31.3,60,
Morristown,513,512,799900,858791,3.88,30000,5.48,48720,33.6,63,
Mountain Lakes,71,71,1199000,1215000,3.65,40100,5.89,60737,39.4,80,
Mountainside,87,87,969000,1040008,3.17,30100,5.43,51220,35.6,66,
New Providence,171,171,899000,999999,8.96,83000,9.42,93840,21.1,57,
North Haledon,164,163,649900,670000,2.22,15000,3.73,22561,33.7,71,
Nutley,256,256,629450,663500,3.42,19500,4.7,27787,28.5,66,
Parsippany-Troy Hills,251,249,665000,687369,4.17,25000,4.46,27977,31.3,57,
Pompton Lakes,137,137,499999,530000,3.68,16838,4.61,22624,30.7,66,
Pompton Plains,94,94,649900,680000,3.21,20050,3.37,17831,30.9,62,
Randolph,311,311,764326,817000,3.58,26000,4.8,37253,29.3,64,
Roseland,49,49,755000,770000,5.88,40100,6.48,50502,24.5,61,
Scotch Plains,292,292,849000,902500,4.59,35379,6.59,61090,29.5,62,
Short Hills,202,201,2295000,2413000,3.62,70000,5.64,93447,40.3,71,
South Orange,232,230,959000,1124000,11.06,101050,12.79,133116,16.1,61,
South Plainfield,97,97,550000,570000,2.15,11000,2.67,15619,29.9,65,
Springfield,200,200,648500,675000,3.91,21000,4.89,32440,27.0,62,
Stirling,27,27,675000,680000,5.13,36000,4.11,40085,25.9,57,
Summit,302,302,1300000,1485000,9.65,125000,10.51,141435,23.5,59,
Totowa,77,77,629000,678000,3.39,20100,3.7,18110,28.6,72,
Towaco,76,76,764450,780000,2.1,18500,4.29,45425,34.2,64,
Verona,215,210,679000,795000,6.93,43500,9.89,76761,27.1,61,
Warren,228,227,1199000,1200000,0.0,0,1.03,3582,58.1,75,
Watchung,77,77,999000,1050000,1.97,20000,2.4,18791,45.5,66,
Wayne,582,580,699906,749500,4.56,30100,5.69,42877,24.3,65,
West Orange,570,568,638500,681250,7.53,46000,8.58,58322,19.5,62,
Westfield,441,441,1195000,1325000,7.06,75000,8.69,96671,22.0,56,
Woodbridge,55,55,485000,510000,3.38,20000,4.35,20181,23.6,60,
Woodland Park,222,222,599000,622500,3.52,20550,4.29,24816,30.6,63,
