town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,800,800,846500,878855,4.01,26050,5.03,40086,26.8,58,
Bedminster,350,350,479950,500000,3.04,15000,3.66,10276,31.1,54,
Berkeley Heights,306,306,799000,852500,6.71,49550,7.34,61985,22.5,58,
Boonton,314,313,639900,675000,2.67,20000,4.39,25216,30.7,63,
Branchburg,452,451,575000,600000,3.08,16000,3.77,21314,33.3,61,
Bridgewater,807,807,650000,700000,3.1,20000,3.75,25470,31.0,62,
Caldwell,326,326,699450,765000,6.14,40000,7.37,51440,25.8,64,
Cedar Grove,203,203,699000,753000,7.94,53000,7.61,52872,18.7,59,
Cedar Knolls,74,74,627000,637500,4.34,21250,4.75,34320,27.0,62,
Chatham,540,540,1182500,1347500,5.93,61500,7.91,97301,28.7,63,
Chester,245,244,919450,937000,1.86,16490,3.04,22510,39.3,70,
Clark,206,206,677000,682500,3.75,21000,3.28,19512,27.7,63,
Colonia,97,97,590000,625000,4.84,30000,4.76,25814,22.7,67,
Cranford,409,409,725000,770000,5.11,35000,6.25,45268,24.0,55,
Denville,455,451,610000,650000,4.07,25000,4.5,28049,28.6,62,
Edison,222,222,620000,641000,3.4,16200,4.2,24299,30.6,65,
Essex Fells,36,36,1499000,1500000,-0.59,-5000,1.89,-14414,58.3,67,
Fanwood,176,176,725000,762500,6.01,36000,6.55,47285,21.6,61,
Florham Park,216,216,922000,985000,3.0,25000,4.48,40197,35.6,64,
Franklin Lakes,86,86,1597000,1560000,0.0,0,1.75,-441,52.3,95,
Garwood,94,94,649950,682500,3.24,20050,3.83,24931,31.9,62,
Glen Ridge,216,191,829000,1052500,21.03,186000,19.44,188088,13.1,58,
Glen Rock,138,138,899000,1020000,10.27,91500,11.02,102197,13.0,59,
Green Brook,227,226,549950,569450,2.28,12300,3.5,16363,35.4,67,
Livingston,534,534,999950,1110000,2.56,26500,5.05,42056,38.0,67,
Long Hill,201,201,700000,729000,2.99,21000,4.29,33257,32.3,63,
Long Valley,304,304,687500,714500,3.5,22550,4.0,25151,30.3,62,
Madison,326,325,999000,1136000,5.09,51000,7.46,76150,27.7,65,
Maplewood,621,617,849000,995000,10.4,88000,13.1,120534,16.9,56,
Mendham,329,329,1100000,1122000,0.38,3000,2.02,7196,49.2,69,
Metuchen,90,90,683500,715000,5.96,35550,6.47,45538,24.4,62,
Montclair,763,679,989000,1215000,17.99,171000,18.55,200104,13.4,59,
Montville,292,292,737000,786805,4.59,31656,4.77,33265,30.1,67,
Morris Plains,434,433,665000,712000,4.31,26000,5.12,35651,26.1,59,
Morristown,945,944,775000,814850,3.66,25051,5.29,42094,32.4,63,
New Providence,289,289,865000,930000,8.3,70000,8.85,84126,21.1,55,
North Caldwell,49,48,998995,1175000,4.25,40500,6.31,55761,31.2,58,
Nutley,444,444,619000,650500,4.73,25000,5.59,32256,27.5,67,
Randolph,517,517,739000,780000,4.01,28000,5.31,39362,26.7,64,
Roseland,84,84,752500,772500,4.86,31000,5.79,43422,27.4,65,
Scotch Plains,463,462,829450,875750,5.63,47250,7.2,64006,25.3,61,
Short Hills,347,346,2095000,2224000,4.13,80000,5.54,86596,36.4,67,
South Orange,398,396,925000,1088944,9.52,76000,11.58,112995,15.4,61,
South Plainfield,157,157,525000,545000,3.35,20000,3.77,19739,24.2,66,
Springfield,321,321,625000,662000,3.82,21000,4.84,31473,26.5,62,
Summit,521,520,1212500,1350000,8.57,87750,9.32,118321,24.2,61,
Towaco,94,94,700000,722500,1.7,15550,4.03,38403,35.1,64,
Verona,323,319,649900,728625,6.42,32000,8.57,64718,30.4,62,
Warren,413,412,1157500,1180000,0.0,0,0.78,2057,56.3,73,
Watchung,132,132,989000,999999,0.0,0,1.99,14228,52.3,76,
West Orange,960,957,600000,658000,7.77,45000,8.69,54602,20.6,62,
Westfield,730,729,1150000,1260000,5.71,60000,7.62,80575,25.8,59,
Woodbridge,78,78,450000,490000,4.79,20050,4.4,18375,20.5,63,
