town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,815,815,848000,880000,4.01,26100,5.03,40328,26.6,59,
Bedminster,358,358,482500,500500,3.04,15000,3.69,10864,30.4,54,
Berkeley Heights,315,315,799000,860000,6.72,50000,7.34,62303,22.2,58,
Bernardsville,234,234,899500,996500,1.69,11125,2.08,-8218,45.3,64,
Boonton,323,322,649000,675000,2.67,20000,4.42,25499,30.7,63,
Branchburg,459,458,575000,600000,3.09,16000,3.74,21247,33.4,61,
Bridgewater,838,838,669684,700000,3.18,20100,3.8,25915,31.0,62,
Caldwell,294,294,712450,768500,5.53,35000,7.06,49726,26.9,64,
Cedar Grove,211,211,699000,762000,7.94,53000,7.64,53569,18.5,58,
Cedar Knolls,75,75,629000,640000,4.35,21500,4.75,34331,26.7,62,
Chatham,549,549,1190000,1345000,5.81,60099,7.84,96149,28.8,63,
Chester,251,250,909000,925000,1.96,19550,3.08,23074,39.2,69,
Clark,213,213,680000,690000,3.66,21000,3.24,18949,27.7,63,
Colonia,95,95,589900,625000,4.76,27000,4.61,24710,23.2,67,
Cranford,420,420,725000,770500,5.12,35000,6.25,45380,23.8,56,
Denville,465,461,615000,650000,4.07,25000,4.53,28381,28.9,62,
East Hanover,170,170,795000,835000,4.29,31050,4.95,41251,25.9,60,
Edison,181,181,600000,626000,2.61,15000,3.71,20556,34.8,68,
Elmwood Park,87,87,579900,605000,2.27,12000,3.4,18498,39.1,71,
Essex Fells,37,37,1499000,1500000,0.0,0,1.94,-12646,56.8,68,
Fairfield,73,73,729000,740000,3.72,26000,4.95,41071,30.1,69,
Fanwood,178,178,725000,766250,6.13,36000,6.63,47766,21.9,61,
Florham Park,229,229,925000,991000,2.96,25000,4.34,38502,35.4,64,
Franklin Lakes,92,92,1595000,1527500,0.0,0,2.16,2059,51.1,92,
Garwood,95,95,650000,685000,3.33,20100,3.89,25364,31.6,62,
Gillette,87,87,635000,650000,2.68,15000,4.09,31968,36.8,64,
Glen Ridge,223,198,829450,1057250,21.12,187500,19.63,190923,12.6,58,
Glen Rock,142,142,899000,1035000,10.27,92500,11.01,102494,12.7,59,
Green Brook,232,231,550000,570000,2.22,12000,3.37,15339,35.9,68,
Haledon,28,28,514500,562550,4.26,23000,5.46,27636,25.0,61,
Hanover Township,142,141,650000,690000,5.16,30000,6.33,41280,24.8,53,
Livingston,548,548,999900,1110000,2.56,27250,5.1,43241,37.8,67,
Long Valley,312,312,699000,715000,3.46,22550,3.94,24372,30.1,62,
Madison,332,331,999000,1125000,5.11,51000,7.5,76234,27.5,65,
Maplewood,639,635,850000,999000,10.47,88000,13.05,120534,17.0,56,
Martinsville,104,104,799450,830000,2.21,17550,2.94,20995,35.6,64,
Mendham,333,333,1100000,1125000,0.42,5000,2.23,9232,48.6,69,
Mendham Township,6,6,1187000,1099975,-0.34,-10000,1.92,55992,50.0,56,yes
Metuchen,88,88,692450,715000,5.96,35550,6.62,46834,25.0,62,
Millburn,181,180,1195000,1282500,6.79,74000,8.06,87999,29.4,60,
Millington,71,71,849000,875000,4.0,26000,4.16,37176,28.2,63,
Montclair,778,693,989000,1215000,17.87,170200,18.5,200495,13.6,60,
Montville,225,225,739000,775000,3.85,30000,4.18,28903,31.1,69,
Morris Plains,446,445,675000,710000,4.32,26000,5.22,36484,25.8,59,
Morris Township,196,196,799000,850000,4.41,31000,6.03,50119,27.0,62,
Morristown,770,769,775000,810000,3.35,25000,5.02,39570,34.1,64,
Mountain Lakes,116,116,1112500,1200000,2.65,29000,4.56,47157,35.3,76,
Mountainside,161,161,915000,978000,4.13,34000,6.13,57459,31.1,65,
New Providence,295,295,850000,930000,8.3,70000,8.89,84893,21.0,55,
North Caldwell,49,48,998995,1175000,4.25,40500,6.31,55761,31.2,58,
North Haledon,211,210,647394,660000,2.46,16000,3.8,22869,31.4,72,
Nutley,452,452,619250,651000,4.68,25000,5.53,31756,27.9,67,
Parsippany-Troy Hills,417,415,650000,686000,4.88,29423,5.22,31318,27.5,57,
Pompton Lakes,264,264,475500,510000,4.62,20000,5.75,25772,27.7,66,
Pompton Plains,178,178,598900,625000,3.59,20001,3.61,18404,30.3,62,
Randolph,532,532,737000,780000,4.01,27750,5.24,38834,26.7,64,
Roseland,87,87,749900,770000,5.18,35000,6.09,45375,26.4,64,
Scotch Plains,473,472,829450,882000,5.63,47750,7.19,63600,25.2,61,
Short Hills,356,355,2095000,2220000,4.1,80000,5.55,87028,36.6,67,
South Orange,407,405,925000,1088888,9.62,80000,11.77,114817,15.3,62,
South Plainfield,157,157,529000,547000,3.48,20000,3.8,19924,24.2,66,
Springfield,331,331,629000,665000,3.94,21000,4.87,31985,26.3,62,
Stirling,47,47,625000,665000,3.7,21000,4.99,32756,29.8,61,
Summit,538,537,1200000,1350000,8.7,96000,9.48,120788,23.6,61,
Totowa,144,143,599999,635000,3.59,25100,3.59,17536,30.1,74,
Towaco,96,96,704950,737500,1.84,18500,4.17,39531,34.4,64,
Verona,330,326,649000,726500,6.25,31000,8.49,64111,30.4,61,
Warren,423,422,1170000,1182500,0.0,0,0.77,2001,56.4,73,
Watchung,140,140,983750,999000,0.0,0,1.93,14302,51.4,76,
Wayne,1052,1051,669900,710000,4.58,30001,5.42,37970,23.7,66,
West Caldwell,40,40,674450,745000,10.19,63555,8.78,59309,20.0,62,
West Orange,984,981,600000,659000,7.77,45000,8.73,55417,20.7,62,
Westfield,748,747,1150000,1265000,5.76,61000,7.63,80832,25.4,59,
Woodbridge,79,79,449999,490000,4.74,20000,4.38,19791,20.3,62,
Woodland Park,345,345,587500,600000,3.72,20001,4.66,27083,28.4,68,
