town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,816,816,848500,880000,4.05,26944,5.09,41137,26.2,59,
Bedminster,363,363,479900,500000,2.94,15000,3.64,10560,30.9,54,
Berkeley Heights,319,319,799000,860000,6.74,50000,7.41,63537,21.6,57,
Bernardsville,235,235,899000,995000,1.7,11250,2.12,-7864,45.1,65,
Boonton,329,328,649000,675000,2.79,20050,4.55,26637,30.5,63,
Branchburg,463,462,575000,596500,3.07,15625,3.71,21137,34.0,61,
Bridgewater,840,840,672450,700000,3.21,20100,3.81,25988,30.7,62,
Caldwell,291,291,710000,770000,5.38,35000,6.99,48102,27.1,65,
Cedar Grove,216,216,699900,765000,7.12,54050,7.59,53186,18.5,58,
Cedar Knolls,75,75,635000,650000,4.35,21500,4.75,34571,26.7,62,
Chatham,548,548,1195000,1354500,5.81,60050,7.84,96239,28.5,63,
Chester,252,251,919900,925000,1.95,16980,2.91,21676,39.8,70,
Clark,212,212,679950,690000,3.69,21000,3.25,19034,27.8,62,
Colonia,99,99,590000,625000,4.76,27000,4.61,24956,23.2,69,
Cranford,426,426,729000,773000,5.05,35000,6.16,44467,24.2,56,
Denville,462,458,615000,650000,4.04,25000,4.51,28474,29.0,61,
East Hanover,174,174,795000,835000,4.29,31050,5.0,41591,25.9,60,
Edison,217,217,600000,635000,3.17,16000,3.97,22503,30.9,64,
Elmwood Park,87,87,579900,605000,2.27,12000,3.4,18498,39.1,71,
Essex Fells,36,36,1494000,1475000,0.0,0,2.19,-7164,55.6,67,
Fairfield,72,72,739000,760000,3.93,28000,5.04,41794,29.2,69,
Fanwood,183,183,725000,770000,6.01,36000,6.68,48766,22.4,60,
Florham Park,229,229,925000,995000,3.03,25000,4.45,39676,35.4,64,
Franklin Lakes,92,92,1597000,1560000,0.0,0,1.88,-3593,52.2,95,
Garwood,94,94,659800,685000,3.52,20250,3.86,25217,31.9,62,
Gillette,89,89,635000,650000,2.68,15000,3.87,30407,37.1,64,
Glen Ridge,226,201,849000,1080000,21.21,191000,19.96,198937,11.9,58,
Glen Rock,144,144,899000,1010000,9.84,85000,10.55,98157,13.9,59,
Green Brook,236,235,550000,570000,2.35,15000,3.44,15908,34.5,68,
Haledon,28,28,514500,562550,4.26,23000,5.46,27636,25.0,61,
Hanover Township,145,144,650000,692500,5.12,30000,6.32,40948,25.0,53,
Livingston,557,557,999000,1100000,2.63,27500,5.07,42756,37.5,67,
Long Valley,313,313,699000,715000,3.45,22001,3.92,24114,30.4,62,
Madison,329,329,999000,1125000,5.29,51000,7.61,78412,27.4,64,
Maplewood,652,648,850000,999000,10.54,90000,13.15,121416,17.1,56,
Martinsville,107,107,799900,835000,2.14,16000,3.1,22098,36.4,64,
Mendham,295,295,1099000,1100000,0.11,1000,2.27,8953,49.8,68,
Mendham Township,46,46,1152000,1150000,0.82,10500,1.89,16736,41.3,70,
Metuchen,89,89,685000,715000,6.0,36000,6.69,47937,24.7,62,
Millburn,183,182,1195000,1312500,6.97,76000,8.13,88768,28.0,60,
Millington,71,71,849000,875000,4.0,28000,4.25,37796,28.2,62,
Montclair,783,695,979000,1204000,17.62,170000,18.34,197544,13.7,60,
Montville,227,227,748000,775000,3.85,30000,4.12,28805,31.3,69,
Morris Plains,452,451,675000,715000,4.01,25100,5.1,35548,27.3,59,
Morris Township,196,196,799000,850000,4.41,31000,6.03,50119,27.0,62,
Morristown,779,778,775000,808500,3.29,25000,5.08,40103,34.3,64,
