county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Jan,1,76,14,814000,830000,6.53,51000,8.18,95787,14.3,86,
BERGEN,Feb,2,62,15,899000,930000,2.4,17000,3.84,17108,33.3,97,
BERGEN,Mar,3,80,29,899000,999999,5.08,41100,5.81,31680,34.5,65,
BERGEN,Apr,4,88,24,899000,930000,0.75,8000,2.74,2984,41.7,78,
BERGEN,May,5,66,22,899500,1073258,4.6,40000,7.38,75183,31.8,56,
BERGEN,Jun,6,76,35,915000,1081000,4.55,33000,8.64,74815,40.0,65,
BERGEN,Jul,7,161,50,899000,1082000,7.08,57500,8.41,71961,24.0,65,
BERGEN,Aug,8,126,45,939000,999999,4.49,40001,5.83,47608,28.9,65,
BERGEN,Sep,9,118,37,810000,902000,1.25,10000,4.91,34550,32.4,63,
BERGEN,Oct,10,97,28,769000,862500,5.59,41000,6.19,52365,25.0,64,
BERGEN,Nov,11,94,24,700000,756500,4.73,35500,7.13,67416,29.2,54,
BERGEN,Dec,12,96,22,970000,1040500,2.32,8500,3.76,11328,45.5,86,
ESSEX,Jan,1,683,329,749000,800000,3.59,25000,6.27,51667,33.4,78,
ESSEX,Feb,2,539,236,787000,875000,3.89,26750,7.3,63720,38.6,70,
ESSEX,Mar,3,699,357,779000,865000,8.49,54500,10.29,86837,22.7,54,
ESSEX,Apr,4,834,440,799000,887500,7.69,55050,11.09,103266,24.1,57,
ESSEX,May,5,1016,598,815000,919500,10.11,80550,12.71,118286,18.1,57,
ESSEX,Jun,6,1244,722,879000,999999,9.64,76500,11.82,116718,19.9,61,
ESSEX,Jul,7,1641,943,849000,950000,9.0,66000,10.74,102119,22.8,62,
ESSEX,Aug,8,1264,688,800000,905000,7.29,55000,9.53,83583,23.3,65,
ESSEX,Sep,9,926,470,730000,788500,4.62,35000,6.93,52806,27.2,61,
ESSEX,Oct,10,895,418,727000,769900,4.11,25000,6.7,53591,32.5,64,
ESSEX,Nov,11,851,454,799000,855000,6.0,45000,8.06,68939,26.2,61,
ESSEX,Dec,12,905,474,772000,831250,5.95,40000,8.39,71130,27.6,62,
MIDDLESEX,Jan,1,362,213,529900,550000,1.45,6150,2.3,11582,39.9,83,
MIDDLESEX,Feb,2,332,194,547450,551500,0.97,5050,2.09,10747,37.6,78,
MIDDLESEX,Mar,3,391,221,565000,575000,1.68,11000,3.18,18556,39.4,64,
MIDDLESEX,Apr,4,400,218,549652,575000,3.73,19000,4.41,22773,28.9,67,
MIDDLESEX,May,5,417,255,539900,568500,3.47,15101,4.45,25585,26.7,62,
MIDDLESEX,Jun,6,522,317,599900,620000,2.71,15000,3.64,23857,35.3,66,
MIDDLESEX,Jul,7,698,399,549900,570000,3.33,16000,4.35,24144,30.3,70,
MIDDLESEX,Aug,8,563,267,550000,582000,3.9,20000,4.35,22567,32.6,65,
MIDDLESEX,Sep,9,503,255,535000,550000,3.17,16000,4.11,19073,31.8,65,
MIDDLESEX,Oct,10,511,262,525000,550000,2.35,11000,3.06,12841,32.4,68,
MIDDLESEX,Nov,11,482,239,550000,571000,1.89,11000,3.23,16093,33.5,71,
MIDDLESEX,Dec,12,481,260,559450,575250,1.68,10050,2.74,14873,38.5,69,
MORRIS,Jan,1,764,388,749950,762500,0.82,5625,2.31,13730,42.3,77,
MORRIS,Feb,2,649,316,699900,720500,0.9,5000,2.7,18572,44.0,78,
MORRIS,Mar,3,742,425,725000,760000,3.9,26000,5.24,45903,33.6,56,
MORRIS,Apr,4,864,508,753000,810000,5.28,35100,6.43,52459,25.2,56,
MORRIS,May,5,1072,632,799000,851000,6.0,46500,7.09,61945,24.2,57,
MORRIS,Jun,6,1282,808,784500,839950,5.21,40100,6.16,56843,25.2,61,
MORRIS,Jul,7,1632,918,799000,843750,4.97,36000,5.86,49275,26.5,64,
MORRIS,Aug,8,1354,754,749000,779328,4.24,26000,5.23,40306,28.2,64,
MORRIS,Sep,9,1024,546,748000,778164,3.65,24550,4.43,28355,34.1,66,
MORRIS,Oct,10,1041,546,745000,760000,2.67,16550,3.98,27834,36.4,62,
MORRIS,Nov,11,1012,518,717000,755000,2.42,15100,3.61,27007,35.5,63,
MORRIS,Dec,12,975,535,749900,775000,0.87,5100,3.06,20713,44.1,67,
PASSAIC,Jan,1,322,148,639450,642500,2.13,11000,3.8,23997,34.5,82,
PASSAIC,Feb,2,241,103,599999,635000,2.17,11000,3.96,21072,34.0,76,
PASSAIC,Mar,3,250,136,599450,631000,4.37,25000,4.35,25712,28.7,66,
PASSAIC,Apr,4,292,164,609950,636250,4.38,26000,5.16,30135,24.4,60,
PASSAIC,May,5,334,188,599900,630000,4.01,21100,5.05,32564,25.0,63,
PASSAIC,Jun,6,399,225,625000,675000,6.21,35000,6.69,43218,21.3,62,
PASSAIC,Jul,7,497,284,623000,655500,5.11,30100,6.19,40096,21.5,64,
PASSAIC,Aug,8,400,209,599900,640000,5.26,30000,6.15,36348,19.6,64,
PASSAIC,Sep,9,378,190,599900,625000,3.55,20000,4.18,25252,28.9,70,
PASSAIC,Oct,10,414,191,599999,660000,3.86,25000,4.6,28464,30.9,71,
PASSAIC,Nov,11,358,157,625000,630000,2.67,15001,3.89,23479,33.1,75,
PASSAIC,Dec,12,344,178,623500,640000,3.21,20050,3.29,22717,29.8,66,
SOMERSET,Jan,1,371,227,669000,676000,0.7,4999,2.16,5555,45.8,72,
SOMERSET,Feb,2,301,193,599000,600000,0.0,0,1.54,3999,52.8,73,
SOMERSET,Mar,3,344,236,627450,650750,2.04,14000,2.8,19369,38.1,61,
SOMERSET,Apr,4,406,276,677000,715000,3.33,23000,5.0,30981,32.2,59,
SOMERSET,May,5,507,359,699000,750000,3.9,25100,5.0,35140,29.5,58,
SOMERSET,Jun,6,599,440,717000,750000,4.5,30000,4.96,34509,23.9,60,
SOMERSET,Jul,7,822,582,772500,800000,3.75,25000,4.09,26322,29.0,64,
SOMERSET,Aug,8,669,429,739000,750000,2.78,20000,3.83,28472,32.2,64,
SOMERSET,Sep,9,522,366,700000,740000,2.6,15100,3.09,16985,35.0,61,
SOMERSET,Oct,10,506,329,679900,695000,1.69,10000,2.82,14001,41.6,63,
SOMERSET,Nov,11,490,309,680000,710000,1.01,5000,2.33,1939,44.7,62,
SOMERSET,Dec,12,479,315,650000,675000,0.2,1000,1.67,3802,46.0,63,
UNION,Jan,1,414,234,793944,817375,3.42,21000,4.88,44654,39.3,71,
UNION,Feb,2,318,185,799000,835000,3.93,26000,4.66,42043,33.0,70,
