town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,1256,913,839000,875000,3.93,25417,5.01,40405,27.4,59,
Bedminster,638,406,477000,490000,3.16,15000,3.82,10265,30.8,54,
Berkeley Heights,543,365,799000,860000,6.12,46000,7.04,61008,23.8,58,
Bernardsville,396,268,912500,984550,1.72,13000,2.29,-3948,44.8,64,
Boonton,607,375,650000,680000,2.67,18100,4.32,25244,31.7,64,
Branchburg,869,588,564950,589500,3.05,15100,3.75,21440,33.5,61,
Bridgewater,1492,1007,650000,695000,2.74,18000,3.55,24151,33.4,62,
Caldwell,662,334,727000,777500,5.04,31050,6.77,48165,27.8,65,
Cedar Grove,534,246,699900,763500,8.18,54050,7.87,55689,17.9,59,
Cedar Knolls,98,80,632000,645000,4.37,25000,5.0,35255,25.0,62,
Chatham,1030,641,1200000,1397000,5.62,56000,7.62,92775,30.0,63,
Chester,450,289,929000,950000,2.0,20000,3.11,24835,38.8,70,
Clark,520,265,680000,690000,2.94,20001,3.05,17932,29.8,62,
Colonia,649,457,599000,620000,2.78,16000,3.85,21474,30.9,72,
Cranford,899,491,735000,775000,5.02,34567,6.1,44713,24.6,56,
Denville,1039,541,620000,650000,3.85,25000,4.42,27835,30.3,62,
East Hanover,635,211,789900,835000,4.56,35010,5.2,43133,25.1,61,
Edison,3050,1900,589900,607500,1.94,11000,3.01,16256,37.2,69,
Elmwood Park,452,107,575000,600000,2.64,12000,3.35,17985,39.3,73,
Essex Fells,97,41,1499000,1500000,0.0,0,1.5,-21583,58.5,68,
Fairfield,283,93,719900,750000,3.36,25000,4.96,40157,32.3,69,
Fanwood,296,212,725000,768750,6.01,36000,6.6,47818,22.2,60,
Florham Park,524,280,925000,997000,2.54,24468,4.29,36951,37.9,64,
Franklin Lakes,371,103,1595000,1520000,0.0,0,1.32,-8967,55.3,94,
Garwood,197,114,649950,685000,3.52,20300,4.07,26790,29.8,61,
Gillette,146,101,645000,655000,2.24,15000,3.65,28378,39.6,64,
Glen Ridge,362,227,875000,1100000,21.05,191000,19.59,197000,12.3,58,
Glen Rock,430,166,927000,1050000,9.66,84000,10.26,95689,16.9,59,
Green Brook,547,379,530000,550000,1.96,10100,2.97,13396,37.5,69,
Haledon,100,32,499000,540000,4.84,26500,5.76,28388,25.0,61,
Hanover Township,354,169,660000,699000,4.56,30000,6.16,39733,23.7,53,
Livingston,1521,714,999999,1125000,2.07,25000,4.83,41699,39.4,67,
Long Valley,525,344,699000,717500,3.69,25000,4.03,25269,29.9,62,
Madison,579,379,1075000,1175000,5.02,51000,7.31,76184,29.8,64,
Maplewood,1106,746,850000,999000,9.79,83250,12.47,115237,19.3,56,
Martinsville,171,123,775000,810000,2.65,20000,3.36,22315,35.0,64,
Mendham,419,332,1072500,1097500,0.06,500,2.23,9000,50.0,68,
Mendham Township,123,52,1189500,1187500,0.8,10000,1.59,9084,42.3,70,
Metuchen,685,440,675000,703750,4.0,25000,5.24,36806,28.2,61,
Millburn,326,206,1188444,1278888,6.29,61500,7.66,82901,29.6,60,
Millington,114,80,827000,856000,4.63,35000,4.96,43320,25.0,56,
Montclair,1557,800,989000,1200000,17.04,155000,17.92,194440,15.1,60,
Montville,674,267,740000,788610,4.55,30100,4.52,33067,28.8,68,
Morris Plains,912,514,655004,704008,4.07,25050,5.24,36279,27.8,59,
Morris Township,407,214,799000,850000,3.94,30000,5.71,46914,28.5,62,
Morristown,1419,898,779900,818750,3.14,25000,4.94,40175,35.1,65,
Mountain Lakes,253,145,1100000,1200000,2.29,25000,4.26,44910,37.2,76,
