town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,436,436,839000,864326,2.88,21000,3.97,36206,31.0,63,
Bedminster,211,211,495000,501000,2.33,10001,3.09,14711,33.2,54,
Berkeley Heights,198,197,839000,895000,6.72,51013,7.73,71235,20.8,58,
Bernardsville,121,121,940000,1050000,2.67,20001,2.69,-452,42.1,63,
Boonton,204,203,680000,725000,2.67,20000,4.35,28028,30.0,64,
Branchburg,293,292,599000,612500,1.81,10300,2.63,16135,41.1,61,
Bridgewater,516,516,660950,700000,2.25,15000,3.38,23073,35.3,61,
Caldwell,226,226,754500,825500,5.51,38000,7.56,57026,26.5,62,
Cedar Grove,136,136,749000,800000,9.4,69500,9.03,63349,14.0,58,
Cedar Knolls,41,41,735000,765000,4.77,35100,5.89,47326,22.0,63,
Chatham,308,308,1299000,1550000,6.47,85000,8.71,112681,25.6,61,
Chester,149,148,949450,971750,2.04,18000,2.62,17186,41.9,69,
Clark,132,132,700000,745000,3.07,21000,2.73,17066,28.0,64,
Colonia,62,62,599900,632500,4.8,30100,4.73,28427,22.6,72,
Cranford,267,267,759500,825000,5.11,39100,6.4,48176,24.3,56,
Denville,302,298,675000,702000,3.48,25000,4.42,28512,32.2,61,
East Hanover,123,123,829000,880000,4.46,38100,5.61,47956,24.4,61,
Edison,141,141,649000,640000,0.92,6000,2.19,14604,41.8,71,
Elmwood Park,56,56,644450,645000,1.02,7500,2.54,12745,48.2,71,
Essex Fells,25,25,1499000,1500000,0.0,0,0.9,-19956,52.0,70,
Fairfield,39,39,799900,869000,3.72,30100,6.27,54992,25.6,67,
Fanwood,110,110,749000,810000,6.2,44850,7.09,54523,22.7,57,
Florham Park,133,133,999000,1060000,3.45,30100,4.69,41631,33.8,60,
Franklin Lakes,59,59,1679000,1729000,0.0,0,1.71,-15967,57.6,98,
Garwood,60,60,694000,700000,3.52,23000,3.07,21713,31.7,62,
Gillette,56,56,649750,692500,2.19,15500,3.48,28811,41.1,68,
Glen Ridge,147,128,924450,1195000,22.12,224250,20.87,226730,9.4,58,
Glen Rock,79,79,978000,1100000,9.63,89700,10.44,99207,17.7,59,
Green Brook,156,156,569450,592500,1.73,10100,2.42,11975,38.5,67,
Hanover Township,94,93,690000,709900,3.62,26000,6.09,40757,26.9,53,
Livingston,357,357,1050000,1150000,2.06,25000,4.78,43036,38.9,67,
Long Valley,171,171,729000,757000,3.53,22000,3.1,19057,31.6,63,
Madison,192,192,1124500,1289000,6.71,65000,9.05,96832,25.5,64,
Maplewood,395,393,875000,1060000,11.12,101000,14.26,135981,15.5,55,
Martinsville,60,60,832000,865000,2.15,22050,3.01,18812,38.3,62,
Mendham,202,202,1150000,1176000,0.0,0,2.36,13805,51.5,69,
Metuchen,55,55,682000,718000,6.37,40000,7.31,54919,25.5,59,
Millburn,92,91,1295000,1414000,6.47,80000,7.54,83260,28.6,62,
Millington,48,48,839000,866000,4.63,31500,5.29,45207,25.0,54,
Montclair,498,450,999998,1225000,17.31,175450,17.85,203703,14.4,59,
Montville,170,170,772400,799408,4.23,32800,4.57,37027,27.1,70,
Morris Plains,264,263,715000,735000,2.51,16000,4.7,33464,31.9,60,
Morristown,539,538,799950,860500,3.94,30500,5.52,48886,33.3,64,
Mountain Lakes,76,76,1199500,1207500,3.61,30000,5.42,55556,39.5,80,
Mountainside,99,99,975000,1040008,2.56,25000,4.71,43350,38.4,64,
New Providence,180,180,899000,999999,8.96,82000,9.46,93492,21.1,56,
North Haledon,169,168,649700,670000,2.22,15000,3.7,22362,33.9,71,
Nutley,265,265,629900,670000,3.56,20000,4.82,28653,28.3,66,
Parsippany-Troy Hills,270,268,669950,688684,4.06,25000,4.41,27951,32.1,59,
Pompton Lakes,141,141,499900,530000,3.88,17500,4.71,23035,29.8,66,
Pompton Plains,98,98,639450,664500,3.21,20050,3.36,17925,31.6,62,
Randolph,331,331,764500,818104,3.58,26000,4.78,37398,29.3,64,
Roseland,54,54,757000,772500,6.28,42550,6.74,52347,24.1,62,
Scotch Plains,309,309,839000,885000,4.55,31100,6.48,59683,29.4,62,
Short Hills,211,210,2292000,2414000,3.5,70000,5.65,93862,40.0,70,
South Orange,244,242,962000,1119000,10.86,101050,12.68,131594,16.9,61,
South Plainfield,101,101,550000,570000,2.15,11000,2.63,15408,30.7,65,
Springfield,217,217,648000,680000,4.01,22000,4.98,33139,27.2,62,
Stirling,29,29,675000,680000,5.13,36000,4.14,39955,24.1,57,
Summit,314,313,1300000,1500000,9.72,125000,10.55,141684,23.3,59,
Totowa,79,79,630000,693000,3.41,21000,3.8,18956,27.8,71,
Towaco,82,82,749950,780000,2.1,18500,4.66,48797,32.9,64,
Verona,225,220,686500,800000,7.8,45110,9.91,77263,26.4,61,
Warren,238,237,1199999,1200000,0.0,0,0.91,2507,58.6,75,
Watchung,81,81,999999,1050000,1.6,16990,2.12,15455,46.9,70,
Wayne,610,608,699906,750000,4.62,30100,5.77,43704,24.2,65,
West Orange,600,598,639950,681250,7.35,46000,8.52,57969,19.9,62,
Westfield,457,457,1195000,1325000,6.94,75000,8.45,93652,23.0,57,
Woodbridge,58,58,487000,512500,3.06,15000,4.06,18811,27.6,62,
Woodland Park,234,234,599000,622500,3.31,16500,4.12,23490,31.6,63,
