town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,520,406,839450,864326,2.83,20100,3.88,33506,31.5,62,
Bedminster,267,197,495000,500000,2.38,11000,3.08,12307,34.5,53,
Berkeley Heights,236,183,825000,883000,6.4,50000,7.2,63411,25.1,58,
Bernardsville,169,115,950000,1050000,2.67,20001,2.68,-871,41.7,62,
Boonton,285,176,675000,713750,2.42,15550,4.13,26011,34.1,63,
Branchburg,376,278,599000,615000,1.92,10000,2.7,16163,39.2,62,
Bridgewater,616,469,649999,690000,2.41,15001,3.37,22276,35.6,62,
Caldwell,413,217,750000,810000,6.04,45100,7.79,60542,26.3,62,
Cedar Grove,230,116,722500,780000,9.28,65050,8.45,57460,16.4,59,
Cedar Knolls,51,39,735000,765000,5.15,35100,6.02,48265,23.1,63,
Chatham,436,294,1337000,1562500,6.13,77000,8.57,111484,27.9,61,
Chester,192,131,924900,950000,1.96,20100,2.76,17144,40.5,67,
Clark,234,128,699000,729000,3.71,23000,2.9,17985,27.3,63,
Colonia,268,203,615000,635000,2.52,15000,3.35,19377,32.5,69,
Cranford,365,249,749000,790000,5.4,36000,6.46,48141,23.3,56,
Denville,461,281,650000,687500,3.81,25000,4.45,28022,31.0,62,
East Hanover,297,104,834000,877000,4.76,38050,5.67,48886,23.1,62,
Edison,1212,861,599000,605000,0.77,5000,1.91,11084,44.5,71,
Essex Fells,46,25,1562500,1505000,-1.18,-10000,0.55,-17636,60.0,66,
Fanwood,125,100,747000,805000,6.87,50500,7.27,55269,23.0,62,
Florham Park,201,121,1049900,1100000,3.03,25000,4.21,37047,37.2,59,
Franklin Lakes,155,49,1679000,1750000,0.0,0,2.92,3351,53.1,98,
Garwood,82,55,675000,700000,3.14,20500,2.7,18793,30.9,62,
Gillette,74,51,649999,685000,1.82,15000,3.85,31704,41.2,65,
Glen Ridge,157,114,899000,1137500,22.27,219792,20.54,215616,11.4,58,
Glen Rock,163,65,939000,1085000,11.23,101000,12.31,115506,12.3,59,
Green Brook,284,192,550000,560000,0.9,5000,2.22,10840,43.2,68,
Livingston,626,342,1100000,1200000,1.83,20500,4.78,44406,42.1,67,
Long Valley,215,156,725000,735000,3.09,17300,2.71,16926,34.6,62,
Madison,267,180,1175000,1305000,6.18,60000,8.74,94265,27.2,65,
Maplewood,488,361,869000,1055000,10.91,101000,14.01,133205,15.8,54,
Martinsville,73,54,832000,852500,2.15,22050,2.69,15699,40.7,62,
Mendham,222,185,1150000,1175000,0.0,0,2.06,10289,53.0,69,
Metuchen,287,202,675000,711000,3.92,25000,5.17,39698,29.2,60,
Millburn,146,94,1291500,1402500,6.29,50500,7.14,79007,33.0,62,
Millington,54,44,859000,895000,3.53,26000,4.36,41268,27.3,62,
Montclair,702,423,1050000,1250000,17.14,175000,17.47,200125,16.5,58,
Montville,232,150,754500,790555,3.8,30100,4.13,31774,30.7,69,
Morris Plains,405,240,719450,735000,2.7,16000,4.53,33149,30.0,61,
Morristown,804,491,799999,861000,3.93,31000,5.46,49178,33.0,63,
Mountain Lakes,87,68,1224000,1217500,3.61,35050,5.8,57156,39.7,78,
Mountainside,110,79,949018,1035250,5.27,50000,6.59,68456,32.9,65,
New Providence,208,167,899900,1026000,8.95,76000,9.17,93553,22.8,56,
Nutley,465,247,608000,650000,3.59,20000,4.87,28835,29.1,65,
Randolph,431,296,764413,810000,3.25,25000,4.75,36379,30.4,64,
Roseland,101,47,759000,770000,4.0,31000,5.51,41181,27.7,60,
Scotch Plains,395,279,879000,935000,4.55,35000,6.42,60158,29.7,62,
Short Hills,255,197,2295000,2415000,2.52,42000,4.89,79504,43.7,70,
South Orange,304,223,975000,1123000,10.17,90000,12.04,126233,16.1,62,
South Plainfield,326,225,559900,580000,2.0,11000,2.91,17001,29.8,70,
Springfield,277,186,642000,675000,4.0,22000,5.01,33096,26.9,63,
Stirling,34,25,699000,715000,3.61,21000,4.75,35349,28.0,56,
Summit,422,311,1375000,1510000,8.57,102000,9.98,137760,27.0,59,
Towaco,97,70,749450,764000,1.53,10500,3.49,36467,40.0,64,
Verona,300,203,675000,785000,6.68,41000,9.63,74283,28.6,61,
Warren,385,213,1199000,1200000,0.0,0,0.81,1044,59.2,76,
Watchung,104,73,1050000,1160000,2.37,23000,3.11,29926,45.2,64,
West Orange,872,535,639000,685000,7.3,45000,8.26,55459,20.9,62,
Westfield,570,439,1150000,1300000,6.86,74999,8.61,93187,22.3,56,
Woodbridge,328,244,455000,462500,1.78,7750,3.01,13500,36.1,69,
