county,town,close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
BERGEN,Franklin Lakes,Jan,1,17,1,119,0.0,0.0,0.0,0.0,100.0,0.0,100.0,yes
BERGEN,Franklin Lakes,Feb,2,19,7,101,0.0,0.0,0.0,71.4,28.6,0.0,100.0,yes
BERGEN,Franklin Lakes,Mar,3,27,5,111,0.0,0.0,40.0,0.0,60.0,0.0,100.0,yes
BERGEN,Franklin Lakes,Apr,4,23,10,106,0.0,10.0,30.0,20.0,40.0,10.0,90.0,
BERGEN,Franklin Lakes,May,5,24,7,57,0.0,0.0,100.0,0.0,0.0,0.0,100.0,yes
BERGEN,Franklin Lakes,Jun,6,27,12,96,0.0,0.0,41.7,8.3,50.0,0.0,100.0,
BERGEN,Franklin Lakes,Jul,7,56,12,81,0.0,16.7,16.7,41.7,25.0,16.7,83.3,
BERGEN,Franklin Lakes,Aug,8,34,14,85,0.0,0.0,42.9,28.6,28.6,0.0,100.0,
BERGEN,Franklin Lakes,Sep,9,26,6,112,0.0,16.7,0.0,16.7,66.7,16.7,83.3,yes
BERGEN,Franklin Lakes,Oct,10,31,6,88,0.0,0.0,16.7,50.0,33.3,0.0,100.0,yes
BERGEN,Franklin Lakes,Nov,11,24,5,65,0.0,0.0,60.0,20.0,20.0,0.0,100.0,yes
BERGEN,Franklin Lakes,Dec,12,21,5,191,0.0,20.0,0.0,20.0,60.0,20.0,80.0,yes
BERGEN,Glen Rock,Jan,1,29,8,76,0.0,0.0,50.0,25.0,25.0,0.0,100.0,yes
BERGEN,Glen Rock,Feb,2,17,4,70,0.0,50.0,0.0,50.0,0.0,50.0,50.0,yes
BERGEN,Glen Rock,Mar,3,31,16,54,0.0,31.2,50.0,6.2,12.5,31.2,68.8,
BERGEN,Glen Rock,Apr,4,23,5,64,0.0,20.0,40.0,40.0,0.0,20.0,80.0,yes
BERGEN,Glen Rock,May,5,22,7,54,0.0,42.9,57.1,0.0,0.0,42.9,57.1,yes
BERGEN,Glen Rock,Jun,6,26,15,60,0.0,33.3,53.3,13.3,0.0,33.3,66.7,
BERGEN,Glen Rock,Jul,7,54,17,55,0.0,29.4,47.1,17.6,5.9,29.4,70.6,
BERGEN,Glen Rock,Aug,8,49,23,63,0.0,13.0,69.6,17.4,0.0,13.0,87.0,
BERGEN,Glen Rock,Sep,9,46,19,58,0.0,21.1,63.2,15.8,0.0,21.1,78.9,
BERGEN,Glen Rock,Oct,10,30,11,57,0.0,27.3,45.5,18.2,9.1,27.3,72.7,
BERGEN,Glen Rock,Nov,11,26,10,50,0.0,40.0,50.0,0.0,10.0,40.0,60.0,
BERGEN,Glen Rock,Dec,12,32,7,57,0.0,14.3,42.9,42.9,0.0,14.3,85.7,yes
ESSEX,Caldwell,Jan,1,50,24,80,0.0,4.2,33.3,45.8,16.7,4.2,95.8,
ESSEX,Caldwell,Feb,2,38,21,55,0.0,38.1,19.0,4.8,38.1,38.1,61.9,
ESSEX,Caldwell,Mar,3,36,18,51,5.6,44.4,27.8,5.6,16.7,50.0,50.0,
ESSEX,Caldwell,Apr,4,42,24,64,0.0,16.7,45.8,25.0,12.5,16.7,83.3,
ESSEX,Caldwell,May,5,57,29,57,0.0,27.6,44.8,20.7,6.9,27.6,72.4,
ESSEX,Caldwell,Jun,6,74,36,58,0.0,27.8,50.0,16.7,5.6,27.8,72.2,
ESSEX,Caldwell,Jul,7,79,34,68,0.0,26.5,38.2,20.6,14.7,26.5,73.5,
ESSEX,Caldwell,Aug,8,60,28,64,0.0,7.1,57.1,17.9,17.9,7.1,92.9,
ESSEX,Caldwell,Sep,9,38,14,70,0.0,0.0,57.1,28.6,14.3,0.0,100.0,
ESSEX,Caldwell,Oct,10,49,19,54,0.0,36.8,52.6,5.3,5.3,36.8,63.2,
ESSEX,Caldwell,Nov,11,42,18,68,0.0,11.1,33.3,38.9,16.7,11.1,88.9,
ESSEX,Caldwell,Dec,12,52,23,74,0.0,13.0,34.8,30.4,21.7,13.0,87.0,
ESSEX,Cedar Grove,Jan,1,31,15,66,0.0,6.7,60.0,13.3,20.0,6.7,93.3,
ESSEX,Cedar Grove,Feb,2,23,7,62,0.0,42.9,14.3,42.9,0.0,42.9,57.1,yes
ESSEX,Cedar Grove,Mar,3,35,16,55,0.0,18.8,68.8,0.0,12.5,18.8,81.2,
ESSEX,Cedar Grove,Apr,4,30,17,60,0.0,11.8,58.8,23.5,5.9,11.8,88.2,
ESSEX,Cedar Grove,May,5,40,18,58,0.0,27.8,61.1,11.1,0.0,27.8,72.2,
ESSEX,Cedar Grove,Jun,6,41,19,60,0.0,21.1,52.6,15.8,10.5,21.1,78.9,
ESSEX,Cedar Grove,Jul,7,65,30,56,0.0,30.0,40.0,20.0,10.0,30.0,70.0,
ESSEX,Cedar Grove,Aug,8,56,20,54,0.0,35.0,45.0,20.0,0.0,35.0,65.0,
ESSEX,Cedar Grove,Sep,9,49,20,62,0.0,20.0,45.0,25.0,10.0,20.0,80.0,
ESSEX,Cedar Grove,Oct,10,46,22,56,0.0,27.3,31.8,27.3,13.6,27.3,72.7,
ESSEX,Cedar Grove,Nov,11,29,14,52,0.0,35.7,42.9,14.3,7.1,35.7,64.3,
ESSEX,Cedar Grove,Dec,12,33,11,67,0.0,0.0,45.5,45.5,9.1,0.0,100.0,
ESSEX,Essex Fells,Jan,1,3,1,90,0.0,0.0,0.0,100.0,0.0,0.0,100.0,yes
ESSEX,Essex Fells,Feb,2,3,1,45,0.0,0.0,100.0,0.0,0.0,0.0,100.0,yes
ESSEX,Essex Fells,Mar,3,5,3,39,0.0,33.3,33.3,0.0,33.3,33.3,66.7,yes
ESSEX,Essex Fells,Apr,4,9,5,68,0.0,20.0,40.0,20.0,20.0,20.0,80.0,yes
ESSEX,Essex Fells,May,5,8,2,188,50.0,0.0,0.0,0.0,50.0,50.0,50.0,yes
ESSEX,Essex Fells,Jun,6,7,2,59,0.0,0.0,100.0,0.0,0.0,0.0,100.0,yes
ESSEX,Essex Fells,Jul,7,11,4,80,0.0,0.0,75.0,25.0,0.0,0.0,100.0,yes
ESSEX,Essex Fells,Aug,8,16,9,88,0.0,22.2,22.2,22.2,33.3,22.2,77.8,yes
ESSEX,Essex Fells,Sep,9,11,2,82,0.0,0.0,50.0,0.0,50.0,0.0,100.0,yes
ESSEX,Essex Fells,Oct,10,7,3,62,0.0,0.0,66.7,33.3,0.0,0.0,100.0,yes
ESSEX,Essex Fells,Nov,11,5,2,88,0.0,50.0,0.0,0.0,50.0,50.0,50.0,yes
ESSEX,Essex Fells,Dec,12,5,2,87,0.0,0.0,0.0,50.0,50.0,0.0,100.0,yes
ESSEX,Glen Ridge,Jan,1,17,9,65,0.0,0.0,55.6,44.4,0.0,0.0,100.0,yes
ESSEX,Glen Ridge,Feb,2,10,7,50,0.0,42.9,28.6,14.3,14.3,42.9,57.1,yes
ESSEX,Glen Ridge,Mar,3,23,18,54,0.0,27.8,72.2,0.0,0.0,27.8,72.2,
ESSEX,Glen Ridge,Apr,4,27,18,68,0.0,22.2,33.3,38.9,5.6,22.2,77.8,
ESSEX,Glen Ridge,May,5,33,20,67,0.0,15.0,45.0,35.0,5.0,15.0,85.0,
ESSEX,Glen Ridge,Jun,6,45,34,58,0.0,11.8,73.5,14.7,0.0,11.8,88.2,
ESSEX,Glen Ridge,Jul,7,45,30,59,3.3,26.7,43.3,26.7,0.0,30.0,70.0,
ESSEX,Glen Ridge,Aug,8,44,34,50,2.9,38.2,44.1,11.8,2.9,41.2,58.8,
ESSEX,Glen Ridge,Sep,9,25,11,67,0.0,9.1,45.5,45.5,0.0,9.1,90.9,
ESSEX,Glen Ridge,Oct,10,24,19,55,0.0,42.1,31.6,26.3,0.0,42.1,57.9,
ESSEX,Glen Ridge,Nov,11,19,10,50,0.0,20.0,70.0,10.0,0.0,20.0,80.0,
ESSEX,Glen Ridge,Dec,12,23,11,59,0.0,18.2,36.4,36.4,9.1,18.2,81.8,
ESSEX,Livingston,Jan,1,87,34,89,0.0,8.8,20.6,38.2,32.4,8.8,91.2,
ESSEX,Livingston,Feb,2,69,22,86,0.0,18.2,13.6,40.9,27.3,18.2,81.8,
ESSEX,Livingston,Mar,3,74,21,52,0.0,19.0,52.4,14.3,14.3,19.0,81.0,
ESSEX,Livingston,Apr,4,93,40,58,7.5,20.0,42.5,15.0,15.0,27.5,72.5,
ESSEX,Livingston,May,5,126,46,58,4.3,21.7,43.5,17.4,13.0,26.1,73.9,
ESSEX,Livingston,Jun,6,153,59,60,10.2,20.3,39.0,16.9,13.6,30.5,69.5,
ESSEX,Livingston,Jul,7,200,91,62,7.7,16.5,42.9,14.3,18.7,24.2,75.8,
ESSEX,Livingston,Aug,8,183,69,66,0.0,21.7,34.8,21.7,21.7,21.7,78.3,
ESSEX,Livingston,Sep,9,122,40,56,2.5,22.5,47.5,20.0,7.5,25.0,75.0,
ESSEX,Livingston,Oct,10,111,50,76,2.0,14.0,42.0,16.0,26.0,16.0,84.0,
ESSEX,Livingston,Nov,11,89,40,62,0.0,17.5,47.5,27.5,7.5,17.5,82.5,
ESSEX,Livingston,Dec,12,104,44,72,4.5,6.8,43.2,29.5,15.9,11.4,88.6,
ESSEX,Maplewood,Jan,1,68,39,76,0.0,15.4,33.3,23.1,28.2,15.4,84.6,
ESSEX,Maplewood,Feb,2,49,27,51,0.0,66.7,11.1,11.1,11.1,66.7,33.3,
ESSEX,Maplewood,Mar,3,69,40,42,0.0,50.0,45.0,5.0,0.0,50.0,50.0,
ESSEX,Maplewood,Apr,4,87,53,48,5.7,37.7,35.8,17.0,3.8,43.4,56.6,
ESSEX,Maplewood,May,5,95,52,51,3.8,32.7,51.9,9.6,1.9,36.5,63.5,
ESSEX,Maplewood,Jun,6,116,80,56,1.2,31.2,47.5,18.8,1.2,32.5,67.5,
ESSEX,Maplewood,Jul,7,135,99,56,1.0,15.2,57.6,19.2,7.1,16.2,83.8,
